cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
0,0x00000000003,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000c00000000000000000000000000000000000
1,0x00000001007,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000401c00000000000000000000000000000000000
2,0x0000000200b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000802c00000000000000000000000000000000000
3,0x0000000300f,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000c03c00000000000000000000000000000000000
4,0x00000004013,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001004c00000000000000000000000000000000000
5,0x00000005017,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001405c00000000000000000000000000000000000
6,0x0000000601b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001806c00000000000000000000000000000000000
7,0x0000000701f,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001c07c00000000000000000000000000000000000
8,0x00000008023,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002008c00000000000000000000000000000000000
9,0x00000009063,0x00000000000,0x0200000cb,0x00000000,0x00000000,0,0,0000002418c000000000008000032c0000000000000000
10,0x0000000a067,0x00000000000,0x0202000eb,0x00000000,0x00000000,0,0,0000002819c00000000000808003ac0000000000000000
11,0x0000000b06b,0x00000000000,0x02040010b,0x00000000,0x00000000,0,0,0000002c1ac000000000008100042c0000000000000000
12,0x0000000c0ab,0x00000000000,0x02200030b,0x00000000,0x00000000,0,0,000000302ac0000000000088000c2c0000000000000000
13,0x0000000d0af,0x00000000000,0x02220032b,0x00000000,0x00000000,0,0,000000342bc0000000000088800cac0000000000000000
14,0x0000000e0b3,0x00000000000,0x02240034b,0x00000000,0x00000000,0,0,000000382cc0000000000089000d2c0000000000000000
15,0x0000000f0f3,0x00000000000,0x02400054b,0x00000000,0x00000000,0,0,0000003c3cc000000000009000152c0000000000000000
16,0x000000100f7,0x00000000000,0x02420056b,0x00000000,0x00000000,0,0,000000403dc00000000000908015ac0000000000000000
17,0x000000110fb,0x00000000000,0x02440058b,0x00000000,0x00000000,0,0,000000443ec000000000009100162c0000000000000000
18,0x0000001213b,0x00000000000,0x02600078b,0x00000000,0x00000000,0,0,000000484ec0000000000098001e2c0000000000000000
19,0x0000001313f,0x00000000000,0x0262007ab,0x00000000,0x00000000,0,0,0000004c4fc0000000000098801eac0000000000000000
20,0x00000014143,0x00000000000,0x0264007cb,0x00000000,0x00000000,0,0,0000005050c0000000000099001f2c0000000000000000
21,0x00000015183,0x00000000000,0x0280009cb,0x00000000,0x00000000,0,0,0000005460c00000000000a000272c0000000000000000
22,0x00000016187,0x00000000000,0x0282009eb,0x00602002,0x00000000,0,0,0000005861c00000000000a08027ac0301001000000000
23,0x0000001718b,0x00000000000,0x028400a0b,0x00000000,0x00000000,0,0,0000005c62c00000000000a100282c0000000000000000
24,0x000000181cb,0x00000000000,0x02a000c0b,0x00000000,0x00000000,0,0,0000006072c00000000000a800302c0000000000000000
25,0x000000191cf,0x00000000000,0x02a200c2b,0x02622202,0x00000000,0,0,0000006473c00000000000a88030ac1311101000000000
26,0x0000001a1d3,0x00000000000,0x02a400c4b,0x00000000,0x00000000,0,0,0000006874c00000000000a900312c0000000000000000
27,0x0000001b213,0x00000000000,0x02c000e4b,0x00000000,0x00000000,0,0,0000006c84c00000000000b000392c0000000000000000
28,0x0000001c217,0x00000000000,0x02c200e6b,0x04642402,0x00000000,0,0,0000007085c00000000000b08039ac2321201000000000
29,0x0000001d21b,0x00000000000,0x02c400e8b,0x00000000,0x00000000,0,0,0000007486c00000000000b1003a2c0000000000000000
30,0x0000001e25b,0x00000000000,0x02e00108b,0x00804062,0x00000000,0,0,0000007896c00000000000b800422c0402031000000000
31,0x0000001f25f,0x00000000000,0x02e2010ab,0x06662602,0x00000000,0,0,0000007c97c00000000000b88042ac3331301000000000
32,0x00000020263,0x00000000000,0x02e4010cb,0x00000000,0x00000000,0,0,0000008098c00000000000b900432c0000000000000000
33,0x000000212a3,0x00000000000,0x0300012cb,0x02824262,0x00000000,0,0,00000084a8c00000000000c0004b2c1412131000000000
34,0x000000222a7,0x00000000000,0x0302012eb,0x08682802,0x00000000,0,0,00000088a9c00000000000c0804bac4341401000000000
35,0x000000232ab,0x00000000000,0x03040130b,0x00000000,0x00000000,0,0,0000008caac00000000000c1004c2c0000000000000000
36,0x000000242eb,0x00000000000,0x03200150b,0x04844462,0x00000000,0,0,00000090bac00000000000c800542c2422231000000000
37,0x000000252ef,0x00000000000,0x03220152b,0x40a0c081,0x00000000,0,0,00000094bbc00000000000c88054ae0506040800000000
38,0x000000262f3,0x00000000000,0x03240154b,0x0a6a2a02,0x00000000,0,0,00000098bcc00000000000c900552c5351501000000000
39,0x00000027333,0x00000000000,0x03400174b,0x06864662,0x00000000,0,0,0000009cccc00000000000d0005d2c3432331000000000
40,0x00000028337,0x00000000000,0x03420176b,0x42a0c281,0x00000000,0,0,000000a0cdc00000000000d0805dae1506140800000000
41,0x0000002933b,0x00000000000,0x03440178b,0x0c6c2c02,0x00000000,0,0,000000a4cec00000000000d1005e2c6361601000000000
42,0x0000002a37b,0x00000000000,0x03600198b,0x08884862,0x00000000,0,0,000000a8dec00000000000d800662c4442431000000000
43,0x0000002b37f,0x00000000000,0x0362019ab,0x44a0c481,0x00000000,0,0,000000acdfc00000000000d88066ae2506240800000000
44,0x0000002c383,0x00000000000,0x04120a0c3,0x00000000,0x00000000,0,0,000000b0e0c000000000010482830c0000000000000000
45,0x00000000000,0x00000000000,0x04160a0e3,0x0a8a4a62,0x00000000,0,0,00000000000000000000010582838c5452531000000000
46,0x00000000000,0x00000000000,0x041a0a103,0x46a0c681,0x00000000,0,0,00000000000000000000010682840e3506340800000000
47,0x00000000000,0x00000000000,0x04362a303,0x00000000,0x00000000,0,0,00000000000000000000010d8a8c0c0000000000000000
