t,borrow,dst,src,is_vector,rounds,optype
0,00,00000000,00000000,0,00000000,0000
1,00,00000000,00000000,0,00000000,0000
2,00,00000000,00000000,0,00000000,0000
3,00,00000000,00000000,0,00000000,0000
4,00,00000000,00000000,0,00000000,0000
5,00,00000000,00000000,0,00000000,0000
6,00,00000000,00000000,0,00000000,0000
7,00,00000000,00000000,0,00000000,0000
8,00,00000000,00000000,0,00000000,0000
9,00,00000000,00000000,0,00000000,0000
10,00,00000000,00000000,0,00000000,0000
11,00,00000000,00000000,0,00000000,0000
12,00,00000000,00000000,0,00000000,0000
13,00,00000000,00000000,0,00000000,0000
14,00,00000000,00000000,0,00000000,0000
15,00,00000000,00000000,0,00000000,0000
16,00,00000000,00000000,0,00000000,0000
17,00,00000000,00000000,0,00000000,0000
18,00,00000000,00000000,0,00000000,0000
19,00,00000000,00000000,0,00000000,0000
20,00,00000000,00000000,0,00000000,0000
21,00,00000000,00000000,0,00000000,0000
22,00,00000000,00000000,0,00000000,0000
23,00,00000000,00000000,0,00000000,0000
24,00,00000000,00000000,0,00000000,0000
25,10,00000011,00000010,1,00000100,0001
26,00,00000000,00000000,0,00000000,0000
27,00,00000000,00000000,0,00000000,0000
28,00,00000000,00000000,0,00000000,0000
29,10,00000101,00000100,1,00000100,0001
30,00,00000000,00000000,0,00000000,0000
31,00,00000000,00000000,0,00000000,0000
32,00,00000000,00000000,0,00000000,0000
33,10,00001011,00001010,1,00000100,0001
34,00,00000000,00000000,0,00000000,0000
35,00,00000000,00000000,0,00000000,0000
36,00,00000000,00000000,0,00000000,0000
37,10,00001101,00001100,1,00000100,0001
38,00,00000000,00000000,0,00000000,0000
39,00,00000000,00000000,0,00000000,0000
40,00,00000000,00000000,0,00000000,0000
41,10,00010011,00010010,1,00000100,0001
42,00,00000000,00000000,0,00000000,0000
43,00,00000000,00000000,0,00000000,0000
44,00,00000000,00000000,0,00000000,0000
45,10,00010101,00010100,1,00000100,0001
46,00,00000000,00000000,0,00000000,0000
47,00,00000000,00000000,0,00000000,0000
48,00,00000000,00000000,0,00000000,0000
49,10,00011011,00011010,1,00000100,0001
50,00,00000000,00000000,0,00000000,0000
51,00,00000000,00000000,0,00000000,0000
52,00,00000000,00000000,0,00000000,0000
53,10,00011101,00011100,1,00000100,0001
54,00,00000000,00000000,0,00000000,0000
55,00,00000000,00000000,0,00000000,0000
56,00,00000000,00000000,0,00000000,0000
57,10,00100011,00100010,1,00000100,0001
58,00,00000000,00000000,0,00000000,0000
59,00,00000000,00000000,0,00000000,0000
60,00,00000000,00000000,0,00000000,0000
61,10,00100101,00100100,1,00000100,0001
62,00,00000000,00000000,0,00000000,0000
63,00,00000000,00000000,0,00000000,0000
64,00,00000000,00000000,0,00000000,0000
65,10,00101011,00101010,1,00000100,0001
66,00,00000000,00000000,0,00000000,0000
67,00,00000000,00000000,0,00000000,0000
68,00,00000000,00000000,0,00000000,0000
69,10,00101101,00101100,1,00000100,0001
70,00,00000000,00000000,0,00000000,0000
71,00,00000000,00000000,0,00000000,0000
72,00,00000000,00000000,0,00000000,0000
73,10,00110011,00110010,1,00000100,0001
74,00,00000000,00000000,0,00000000,0000
75,00,00000000,00000000,0,00000000,0000
76,10,00000110,00000101,0,00000000,0011
77,10,00110101,00110100,1,00000100,0001
78,00,00000000,00000000,0,00000000,0000
79,00,00000000,00000000,0,00000000,0000
80,00,00000000,00000000,0,00000000,0000
81,00,00000000,00000000,0,00000000,0000
82,00,00000000,00000000,0,00000000,0000
83,00,00000000,00000000,0,00000000,0000
84,10,00001101,00001100,0,00000000,0011
85,00,00000000,00000000,0,00000000,0000
86,00,00000000,00000000,0,00000000,0000
87,00,00000000,00000000,0,00000000,0000
88,00,00000000,00000000,0,00000000,0000
89,00,00000000,00000000,0,00000000,0000
90,00,00000000,00000000,0,00000000,0000
91,00,00000000,00000000,0,00000000,0000
92,10,00010100,00010011,0,00000000,0011
93,00,00000000,00000000,0,00000000,0000
94,00,00000000,00000000,0,00000000,0000
95,00,00000000,00000000,0,00000000,0000
96,00,00000000,00000000,0,00000000,0000
97,00,00000000,00000000,0,00000000,0000
98,00,00000000,00000000,0,00000000,0000
99,00,00000000,00000000,0,00000000,0000
100,10,00011011,00011010,0,00000000,0011
101,00,00000000,00000000,0,00000000,0000
102,00,00000000,00000000,0,00000000,0000
103,00,00000000,00000000,0,00000000,0000
104,00,00000000,00000000,0,00000000,0000
105,00,00000000,00000000,0,00000000,0000
106,00,00000000,00000000,0,00000000,0000
107,10,00111011,00111010,1,00000100,0001
108,10,00100010,00100001,0,00000000,0011
109,00,00000000,00000000,0,00000000,0000
110,00,00000000,00000000,0,00000000,0000
111,10,00111101,00111100,1,00000100,0001
112,00,00000000,00000000,0,00000000,0000
113,00,00000000,00000000,0,00000000,0000
114,00,00000000,00000000,0,00000000,0000
115,10,01000011,01000010,1,00000100,0001
116,10,00101001,00101000,0,00000000,0011
117,00,00000000,00000000,0,00000000,0000
118,00,00000000,00000000,0,00000000,0000
119,10,01000101,01000100,1,00000100,0001
120,00,00000000,00000000,0,00000000,0000
121,00,00000000,00000000,0,00000000,0000
122,00,00000000,00000000,0,00000000,0000
123,10,01001011,01001010,1,00000100,0001
