case,original_bits,global_header_bits,slot_descriptor_bits,initial_cycle_bits,gap_dictionary_bits,gap_index_stream_bits,field_descriptor_bits,raw_field_stream_bits,initial_field_value_bits,field_dictionary_table_bits,field_index_stream_bits,total_bits,ratio_to_original,reduction_vs_li_padded
softmax_x32,94760,64,384,60,273,1649,558,2148,128,1673,6105,13042,0.137632,0.740499
softmax_x64,178296,64,384,60,404,4459,558,11460,104,1165,7781,26439,0.148287,0.735837
layernorm_x32,141864,64,384,60,485,4227,558,18756,88,808,7982,33412,0.235521,0.739656
layernorm_x64,266800,64,384,66,694,9159,558,37508,88,824,16147,65492,0.245472,0.744232
gelu_x32,287040,64,384,44,24,766,558,4,88,115,0,2047,0.007131,0.974438
gelu_x64,569664,64,384,48,24,1534,558,4,88,115,0,2819,0.004949,0.982376
logsoftmax_x32,343160,64,384,66,270,7535,558,8484,120,3731,32210,53422,0.155677,0.732449
logsoftmax_x64,671416,64,384,72,270,15087,558,26180,104,2979,59614,105312,0.156851,0.735921
softplus_x32,246928,64,384,55,135,1653,558,4,104,233,1786,4976,0.020152,0.909888
softplus_x64,493856,64,384,60,135,3317,558,4,104,233,3578,8437,0.017084,0.923561
logsumexp_x32,159712,64,384,60,190,2961,558,5796,104,1337,9894,21348,0.133666,0.718839
logsumexp_x64,302496,64,384,66,190,5618,558,11588,104,1345,19814,39731,0.131344,0.737298
