case,slot,field,width,events,unique_values,entropy_bits_per_event,most_common_value,most_common_fraction,event_to_event_repeat_pairs,event_to_event_repeat_fraction,adjacent_cycle_pairs,adjacent_cycle_repeat_fraction
softmax_x32,load,mem_fmt,2,64,1,-0.0,0,1.0,63,1.0,63,1.0
softmax_x32,load,mem_addr,28,64,64,6.0,0,0.015625,63,0.0,63,0.0
softmax_x32,load,gpr_fmt,2,64,1,-0.0,0,1.0,63,1.0,63,1.0
softmax_x32,load,gpr_addr,8,64,64,6.0,0,0.015625,63,0.0,63,0.0
softmax_x32,load,optype,2,64,1,-0.0,3,1.0,63,1.0,63,1.0
softmax_x32,store,mem_fmt,2,64,1,-0.0,0,1.0,63,1.0,46,1.0
softmax_x32,store,mem_addr,28,64,64,6.0,0,0.015625,63,0.0,46,0.0
softmax_x32,store,gpr_fmt,2,64,1,-0.0,0,1.0,63,1.0,46,1.0
softmax_x32,store,gpr_addr,8,64,64,6.0,6,0.015625,63,0.0,46,0.0
softmax_x32,store,optype,2,64,1,-0.0,3,1.0,63,1.0,46,1.0
softmax_x32,vector,half,2,256,1,-0.0,0,1.0,255,1.0,208,1.0
softmax_x32,vector,imm,1,256,1,-0.0,0,1.0,255,1.0,208,1.0
softmax_x32,vector,connect,2,256,2,1.0,1,0.5,255,0.8941176470588236,208,0.8990384615384616
softmax_x32,vector,dst,8,256,192,7.5,7,0.0078125,255,0.00784313725490196,208,0.004807692307692308
softmax_x32,vector,src1,8,256,65,4.0,0,0.5,255,0.6745098039215687,208,0.6442307692307693
softmax_x32,vector,src0,8,256,128,7.0,0,0.0078125,255,0.0,208,0.0
softmax_x32,vector,mask,1,256,1,-0.0,0,1.0,255,1.0,208,1.0
softmax_x32,vector,optype,4,256,4,2.0,12,0.25,255,0.7450980392156863,208,0.7259615384615384
softmax_x32,scalar,imm,1,64,1,-0.0,0,1.0,63,1.0,0,0.0
softmax_x32,scalar,connect,1,64,1,-0.0,0,1.0,63,1.0,0,0.0
softmax_x32,scalar,dst,8,64,64,6.0,2,0.015625,63,0.0,0,0.0
softmax_x32,scalar,src1,8,64,64,6.0,1,0.015625,63,0.0,0,0.0
softmax_x32,scalar,src0,8,64,64,6.0,0,0.015625,63,0.0,0,0.0
softmax_x32,scalar,mask,1,64,1,-0.0,0,1.0,63,1.0,0,0.0
softmax_x32,scalar,optype,4,64,2,1.0,4,0.5,63,0.8571428571428571,0,0.0
softmax_x32,sfu,borrow,2,96,1,-0.0,2,1.0,95,1.0,10,1.0
softmax_x32,sfu,dst,8,96,88,6.4182958340544936,13,0.020833333333333332,95,0.0,10,0.0
softmax_x32,sfu,src,8,96,88,6.4182958340544936,12,0.020833333333333332,95,0.0,10,0.0
softmax_x32,sfu,is_vector,1,96,2,0.9182958340544896,1,0.6666666666666666,95,0.6736842105263158,10,0.0
softmax_x32,sfu,rounds,8,96,2,0.9182958340544896,4,0.6666666666666666,95,0.6736842105263158,10,0.0
softmax_x32,sfu,optype,4,96,2,0.9182958340544896,1,0.6666666666666666,95,0.6736842105263158,10,0.0
softmax_x64,load,mem_fmt,2,128,1,-0.0,0,1.0,127,1.0,109,1.0
softmax_x64,load,mem_addr,28,128,128,7.0,0,0.0078125,127,0.0,109,0.0
softmax_x64,load,gpr_fmt,2,128,1,-0.0,0,1.0,127,1.0,109,1.0
softmax_x64,load,gpr_addr,8,128,64,6.0,0,0.015625,127,0.0,109,0.0
softmax_x64,load,optype,2,128,1,-0.0,3,1.0,127,1.0,109,1.0
softmax_x64,store,mem_fmt,2,128,1,-0.0,0,1.0,127,1.0,93,1.0
softmax_x64,store,mem_addr,28,128,128,7.0,0,0.0078125,127,0.0,93,0.0
softmax_x64,store,gpr_fmt,2,128,1,-0.0,0,1.0,127,1.0,93,1.0
softmax_x64,store,gpr_addr,8,128,64,6.0,6,0.015625,127,0.0,93,0.0
softmax_x64,store,optype,2,128,1,-0.0,3,1.0,127,1.0,93,1.0
softmax_x64,vector,half,2,512,1,-0.0,0,1.0,511,1.0,412,1.0
softmax_x64,vector,imm,1,512,1,-0.0,0,1.0,511,1.0,412,1.0
softmax_x64,vector,connect,2,512,2,1.0,1,0.5,511,0.9001956947162426,412,0.8883495145631068
softmax_x64,vector,dst,8,512,215,7.611865575977502,7,0.0078125,511,0.0,412,0.0
softmax_x64,vector,src1,8,512,101,4.28125,0,0.5,511,0.6653620352250489,412,0.6019417475728155
softmax_x64,vector,src0,8,512,128,7.0,0,0.0078125,511,0.0,412,0.0
softmax_x64,vector,mask,1,512,1,-0.0,0,1.0,511,1.0,412,1.0
softmax_x64,vector,optype,4,512,4,2.0,12,0.25,511,0.7651663405088063,412,0.7427184466019418
softmax_x64,scalar,imm,1,128,1,-0.0,0,1.0,127,1.0,6,1.0
softmax_x64,scalar,connect,1,128,1,-0.0,0,1.0,127,1.0,6,1.0
softmax_x64,scalar,dst,8,128,101,6.578125,5,0.015625,127,0.0,6,0.0
softmax_x64,scalar,src1,8,128,101,6.578125,4,0.015625,127,0.0,6,0.0
softmax_x64,scalar,src0,8,128,101,6.578125,3,0.015625,127,0.0,6,0.0
softmax_x64,scalar,mask,1,128,1,-0.0,0,1.0,127,1.0,6,1.0
