Vector Index,Segment ID,Start Index,Length,Load Node,Store Node
0,0,0,256,1,3
0,1,256,256,4,6
0,2,512,256,7,9
0,3,768,256,10,12
0,4,1024,256,13,15
0,5,1280,256,16,18
0,6,1536,256,19,21
0,7,1792,256,22,24
0,8,2048,256,25,27
0,9,2304,256,28,30
0,10,2560,256,31,33
0,11,2816,256,34,36
1,0,0,256,37,39
1,1,256,256,40,42
1,2,512,256,43,45
1,3,768,256,46,48
1,4,1024,256,49,51
1,5,1280,256,52,54
1,6,1536,256,55,57
1,7,1792,256,58,60
1,8,2048,256,61,63
1,9,2304,256,64,66
1,10,2560,256,67,69
1,11,2816,256,70,72
2,0,0,256,73,75
2,1,256,256,76,78
2,2,512,256,79,81
2,3,768,256,82,84
2,4,1024,256,85,87
2,5,1280,256,88,90
2,6,1536,256,91,93
2,7,1792,256,94,96
2,8,2048,256,97,99
2,9,2304,256,100,102
2,10,2560,256,103,105
2,11,2816,256,106,108
3,0,0,256,109,111
3,1,256,256,112,114
3,2,512,256,115,117
3,3,768,256,118,120
3,4,1024,256,121,123
3,5,1280,256,124,126
3,6,1536,256,127,129
3,7,1792,256,130,132
3,8,2048,256,133,135
3,9,2304,256,136,138
3,10,2560,256,139,141
3,11,2816,256,142,144
4,0,0,256,145,147
4,1,256,256,148,150
4,2,512,256,151,153
4,3,768,256,154,156
4,4,1024,256,157,159
4,5,1280,256,160,162
4,6,1536,256,163,165
4,7,1792,256,166,168
4,8,2048,256,169,171
4,9,2304,256,172,174
4,10,2560,256,175,177
4,11,2816,256,178,180
5,0,0,256,181,183
5,1,256,256,184,186
5,2,512,256,187,189
5,3,768,256,190,192
5,4,1024,256,193,195
5,5,1280,256,196,198
5,6,1536,256,199,201
5,7,1792,256,202,204
5,8,2048,256,205,207
5,9,2304,256,208,210
5,10,2560,256,211,213
5,11,2816,256,214,216
6,0,0,256,217,219
6,1,256,256,220,222
6,2,512,256,223,225
6,3,768,256,226,228
6,4,1024,256,229,231
6,5,1280,256,232,234
6,6,1536,256,235,237
6,7,1792,256,238,240
6,8,2048,256,241,243
6,9,2304,256,244,246
6,10,2560,256,247,249
6,11,2816,256,250,252
7,0,0,256,253,255
7,1,256,256,256,258
7,2,512,256,259,261
7,3,768,256,262,264
7,4,1024,256,265,267
7,5,1280,256,268,270
