cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
0,0x00000000003,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000c00000000000000000000000000000000000
1,0x0000000100b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000402c00000000000000000000000000000000000
2,0x00000002013,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000804c00000000000000000000000000000000000
3,0x0000000301b,0x00000000000,0x000000000,0x00000000,0x40201044,0,0,0000000c06c00000000000000000000000000402010440
4,0x00000004023,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001008c00000000000000000000000000000000000
5,0x0000000502b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000140ac00000000000000000000000000000000000
6,0x00000006033,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000180cc00000000000000000000000000000000000
7,0x0000000703b,0x00000000000,0x000000000,0x00000000,0x40605044,0,0,0000001c0ec00000000000000000000000000406050440
8,0x00000008043,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002010c00000000000000000000000000000000000
9,0x0000000904b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002412c00000000000000000000000000000000000
10,0x0000000a053,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002814c00000000000000000000000000000000000
11,0x0000000b05b,0x00000000000,0x000000000,0x00000000,0x40a09044,0,0,0000002c16c0000000000000000000000000040a090440
12,0x0000000c063,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000003018c00000000000000000000000000000000000
13,0x0000000d06b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000341ac00000000000000000000000000000000000
14,0x0000000e073,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000381cc00000000000000000000000000000000000
15,0x0000000f07b,0x00000000000,0x000000000,0x00000000,0x40e0d044,0,0,0000003c1ec0000000000000000000000000040e0d0440
16,0x00000010083,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000004020c00000000000000000000000000000000000
17,0x0000001108b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000004422c00000000000000000000000000000000000
18,0x00000012093,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000004824c00000000000000000000000000000000000
19,0x0000001309b,0x00000000000,0x000000000,0x00000000,0x41211044,0,0,0000004c26c00000000000000000000000000412110440
20,0x000000140a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000005028c00000000000000000000000000000000000
21,0x000000150ab,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000542ac00000000000000000000000000000000000
