t,value
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,1
464,1
465,0
466,0
467,1
468,0
469,0
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,1
555,1
556,1
557,0
558,0
559,0
560,0
561,0
562,1
563,1
564,0
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,0
621,1
622,1
623,1
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,0
636,0
637,1
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,1
681,0
682,0
683,1
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,1
705,0
706,0
707,0
708,1
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,1
734,1
735,0
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,1
744,1
745,0
746,1
747,1
748,1
749,0
750,0
751,0
752,1
753,0
754,1
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,1
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,1
771,1
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,1
783,0
784,1
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,0
