case,original_bits,max_slot_height,padded_payload_bits,ifnull_bits,profile_bits,total_bits,ratio_to_original
softmax_x32,94760,256,47104,3090,64,50258,0.530371
softmax_x64,178296,512,94208,5814,64,100086,0.561347
layernorm_x32,141864,672,123648,4626,64,128338,0.904655
layernorm_x64,266800,1344,247296,8700,64,256060,0.959745
gelu_x32,287040,384,70656,9360,64,80080,0.278986
gelu_x64,569664,768,141312,18576,64,159952,0.280783
logsoftmax_x32,343160,1024,188416,11190,64,199670,0.581857
logsoftmax_x64,671416,2048,376832,21894,64,398790,0.593954
softplus_x32,246928,256,47104,8052,64,55220,0.223628
softplus_x64,493856,512,94208,16104,64,110376,0.223498
logsumexp_x32,159712,384,70656,5208,64,75928,0.475406
logsumexp_x64,302496,768,141312,9864,64,151240,0.499974
