Vector Index,Segment ID,Start Index,Length,Load Node,Shift Node,Exp Node,Ln Node,Store Node
0,0,0,256,1,24,25,55,57
0,1,256,256,3,27,28,55,59
0,2,512,256,5,30,31,55,61
0,3,768,256,7,33,34,55,63
0,4,1024,256,9,36,37,55,65
0,5,1280,256,11,39,40,55,67
0,6,1536,256,13,42,43,55,69
0,7,1792,256,15,45,46,55,71
1,0,0,256,72,95,96,126,128
1,1,256,256,74,98,99,126,130
1,2,512,256,76,101,102,126,132
1,3,768,256,78,104,105,126,134
1,4,1024,256,80,107,108,126,136
1,5,1280,256,82,110,111,126,138
1,6,1536,256,84,113,114,126,140
1,7,1792,256,86,116,117,126,142
2,0,0,256,143,166,167,197,199
2,1,256,256,145,169,170,197,201
2,2,512,256,147,172,173,197,203
2,3,768,256,149,175,176,197,205
2,4,1024,256,151,178,179,197,207
2,5,1280,256,153,181,182,197,209
2,6,1536,256,155,184,185,197,211
2,7,1792,256,157,187,188,197,213
3,0,0,256,214,237,238,268,270
3,1,256,256,216,240,241,268,272
3,2,512,256,218,243,244,268,274
3,3,768,256,220,246,247,268,276
3,4,1024,256,222,249,250,268,278
3,5,1280,256,224,252,253,268,280
3,6,1536,256,226,255,256,268,282
3,7,1792,256,228,258,259,268,284
4,0,0,256,285,308,309,339,341
4,1,256,256,287,311,312,339,343
4,2,512,256,289,314,315,339,345
4,3,768,256,291,317,318,339,347
4,4,1024,256,293,320,321,339,349
4,5,1280,256,295,323,324,339,351
4,6,1536,256,297,326,327,339,353
4,7,1792,256,299,329,330,339,355
5,0,0,256,356,379,380,410,412
5,1,256,256,358,382,383,410,414
5,2,512,256,360,385,386,410,416
5,3,768,256,362,388,389,410,418
5,4,1024,256,364,391,392,410,420
5,5,1280,256,366,394,395,410,422
5,6,1536,256,368,397,398,410,424
5,7,1792,256,370,400,401,410,426
6,0,0,256,427,450,451,481,483
6,1,256,256,429,453,454,481,485
6,2,512,256,431,456,457,481,487
6,3,768,256,433,459,460,481,489
6,4,1024,256,435,462,463,481,491
6,5,1280,256,437,465,466,481,493
6,6,1536,256,439,468,469,481,495
6,7,1792,256,441,471,472,481,497
7,0,0,256,498,521,522,552,554
7,1,256,256,500,524,525,552,556
7,2,512,256,502,527,528,552,558
7,3,768,256,504,530,531,552,560
7,4,1024,256,506,533,534,552,562
7,5,1280,256,508,536,537,552,564
7,6,1536,256,510,539,540,552,566
7,7,1792,256,512,542,543,552,568
8,0,0,256,569,592,593,623,625
8,1,256,256,571,595,596,623,627
8,2,512,256,573,598,599,623,629
8,3,768,256,575,601,602,623,631
8,4,1024,256,577,604,605,623,633
8,5,1280,256,579,607,608,623,635
8,6,1536,256,581,610,611,623,637
8,7,1792,256,583,613,614,623,639
9,0,0,256,640,663,664,694,696
9,1,256,256,642,666,667,694,698
9,2,512,256,644,669,670,694,700
9,3,768,256,646,672,673,694,702
9,4,1024,256,648,675,676,694,704
9,5,1280,256,650,678,679,694,706
9,6,1536,256,652,681,682,694,708
9,7,1792,256,654,684,685,694,710
10,0,0,256,711,734,735,765,767
10,1,256,256,713,737,738,765,769
10,2,512,256,715,740,741,765,771
10,3,768,256,717,743,744,765,773
10,4,1024,256,719,746,747,765,775
