cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
0,0x00000000003,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000c00000000000000000000000000000000000
1,0x00000001007,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000401c00000000000000000000000000000000000
2,0x0000000200b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000802c00000000000000000000000000000000000
3,0x0000000300f,0x00000000000,0x02000000c,0x00000000,0x00000000,0,0,0000000c03c00000000000800000300000000000000000
4,0x00000004033,0x00000000000,0x02020002c,0x00000000,0x00000000,0,0,000000100cc00000000000808000b00000000000000000
5,0x00000005037,0x00000000000,0x02040004c,0x00000000,0x00000000,0,0,000000140dc00000000000810001300000000000000000
6,0x0000000603b,0x00000000000,0x02060006c,0x00000000,0x00000000,0,0,000000180ec00000000000818001b00000000000000000
7,0x0000000703f,0x00000000000,0x02200018c,0x00000000,0x00000000,0,0,0000001c0fc00000000000880006300000000000000000
8,0x00000008063,0x00000000000,0x0222001ac,0x00000000,0x00000000,0,0,0000002018c00000000000888006b00000000000000000
9,0x00000009067,0x00000000000,0x0224001cc,0x00000000,0x00000000,0,0,0000002419c00000000000890007300000000000000000
10,0x0000000a06b,0x00000000000,0x0226001ec,0x00000000,0x00000000,0,0,000000281ac00000000000898007b00000000000000000
11,0x0000000b06f,0x00000000000,0x000000000,0x00802004,0x00000000,0,0,0000002c1bc00000000000000000000401002000000000
12,0x0000000c093,0x00000000000,0x02400030c,0x00000000,0x00000000,0,0,0000003024c0000000000090000c300000000000000000
13,0x0000000d097,0x00000000000,0x02440034c,0x00a06044,0x00000000,0,0,0000003425c0000000000091000d300503022000000000
14,0x0000000e09b,0x00000000000,0x02420032c,0x00000000,0x00000000,0,0,0000003826c0000000000090800cb00000000000000000
15,0x0000000f09f,0x00000000000,0x02460036c,0x02822204,0x00000000,0,0,0000003c27c0000000000091800db01411102000000000
16,0x000000100c3,0x00000000000,0x02600048c,0x00000000,0x00000000,0,0,0000004030c00000000000980012300000000000000000
17,0x000000110c7,0x00000000000,0x0264004cc,0x02a26244,0x00000000,0,0,0000004431c00000000000990013301513122000000000
18,0x000000120cb,0x00000000000,0x0262004ac,0x00000000,0x00000000,0,0,0000004832c00000000000988012b00000000000000000
19,0x000000130cf,0x00000000000,0x0266004ec,0x00000000,0x00000000,0,0,0000004c33c00000000000998013b00000000000000000
20,0x000000140f3,0x00000000000,0x02800060c,0x00c0a084,0x00000000,0,0,000000503cc00000000000a00018300605042000000000
21,0x000000150f7,0x00000000000,0x02820062c,0x04842404,0x00000000,0,0,000000543dc00000000000a08018b02421202000000000
22,0x000000160fb,0x00000000000,0x02840064c,0x04a46444,0x00000000,0,0,000000583ec00000000000a10019302523222000000000
23,0x000000170ff,0x00000000000,0x02860066c,0x00000000,0x00000000,0,0,0000005c3fc00000000000a18019b00000000000000000
24,0x00000018123,0x00000000000,0x02a00078c,0x02c2a284,0x00000000,0,0,0000006048c00000000000a8001e301615142000000000
25,0x00000019127,0x00000000000,0x02a2007ac,0x06862604,0x00000000,0,0,0000006449c00000000000a8801eb03431302000000000
26,0x0000001a12b,0x00000000000,0x02a4007cc,0x06a66644,0x00000000,0,0,000000684ac00000000000a9001f303533322000000000
27,0x0000001b12f,0x00000000000,0x04080c003,0x00000000,0x00000000,0,0,0000006c4bc000000000010203000c0000000000000000
28,0x0000001c153,0x00000000000,0x040c0c023,0x08882804,0x00000000,0,0,0000007054c000000000010303008c4441402000000000
29,0x0000001d157,0x00000000000,0x04100c043,0x04c4a484,0x00000000,0,0,0000007455c000000000010403010c2625242000000000
30,0x0000001e15b,0x00000000000,0x04140c063,0x00000000,0x00000000,0,0,0000007856c000000000010503018c0000000000000000
31,0x0000001f15f,0x00000000000,0x04202c183,0x00000000,0x00000000,0,0,0000007c57c00000000001080b060c0000000000000000
32,0x00000020183,0x00000000000,0x04242c1a3,0x0a8a2a04,0x00000000,0,0,0000008060c00000000001090b068c5451502000000000
33,0x00000021187,0x00000000000,0x04282c1c3,0x06c6a684,0x00000000,0,0,0000008461c000000000010a0b070c3635342000000000
34,0x0000002318f,0x00000000000,0x042c2c1e3,0x00000000,0x40a09041,0,0,0000008c63c000000000010b0b078c000000040a090410
35,0x0000002218b,0x00000000000,0x02a6007ec,0x08a86844,0x00000000,0,0,0000008862c00000000000a9801fb04543422000000000
36,0x000000241b3,0x00000000000,0x04384c303,0x00000000,0x00000000,0,0,000000906cc000000000010e130c0c0000000000000000
37,0x000000251b7,0x00000000000,0x043c4c323,0x00000000,0x00000000,0,0,000000946dc000000000010f130c8c0000000000000000
38,0x000000271bf,0x00000000000,0x04444c363,0x00000000,0x40e0d041,0,0,0000009c6fc0000000000111130d8c000000040e0d0410
39,0x000000261bb,0x00000000000,0x04404c343,0x00000000,0x00000000,0,0,000000986ec0000000000110130d0c0000000000000000
40,0x000000291e7,0x00000000000,0x04506c483,0x00000000,0x00000000,0,0,000000a479c00000000001141b120c0000000000000000
41,0x000000281e3,0x00000000000,0x04546c4a3,0x00000000,0x00000000,0,0,000000a078c00000000001151b128c0000000000000000
42,0x0000002b1ef,0x00000000000,0x02c20092c,0x08c8a884,0x41211041,0,0,000000ac7bc00000000000b08024b04645442412110410
43,0x0000002a1eb,0x00000000000,0x02c00090c,0x0aaa6a44,0x00000000,0,0,000000a87ac00000000000b00024305553522000000000
44,0x0000002d217,0x00000000000,0x02c40094c,0x00000000,0x00000000,0,0,000000b485c00000000000b10025300000000000000000
45,0x0000002c213,0x00000000000,0x02c60096c,0x00000000,0x00000000,0,0,000000b084c00000000000b18025b00000000000000000
46,0x0000002e21b,0x00000000000,0x02e000a8c,0x00000000,0x41615041,0,0,000000b886c00000000000b8002a300000000416150410
47,0x0000002f21f,0x00000000000,0x02e200aac,0x00000000,0x00000000,0,0,000000bc87c00000000000b8802ab00000000000000000
48,0x00000030243,0x00000000000,0x02e400acc,0x00000000,0x00000000,0,0,000000c090c00000000000b9002b300000000000000000
