Vector Index,Num Segments,Length,Global Max Node,Global Sum Node,Ln Node,Store Node
0,4,1024,11,26,27,29
1,4,1024,40,55,56,58
2,4,1024,69,84,85,87
3,4,1024,98,113,114,116
4,4,1024,127,142,143,145
5,4,1024,156,171,172,174
6,4,1024,185,200,201,203
7,4,1024,214,229,230,232
8,4,1024,243,258,259,261
9,4,1024,272,287,288,290
10,4,1024,301,316,317,319
11,4,1024,330,345,346,348
12,4,1024,359,374,375,377
13,4,1024,388,403,404,406
14,4,1024,417,432,433,435
15,4,1024,446,461,462,464
16,4,1024,475,490,491,493
17,4,1024,504,519,520,522
18,4,1024,533,548,549,551
19,4,1024,562,577,578,580
20,4,1024,591,606,607,609
21,4,1024,620,635,636,638
22,4,1024,649,664,665,667
23,4,1024,678,693,694,696
24,4,1024,707,722,723,725
25,4,1024,736,751,752,754
26,4,1024,765,780,781,783
27,4,1024,794,809,810,812
28,4,1024,823,838,839,841
29,4,1024,852,867,868,870
30,4,1024,881,896,897,899
31,4,1024,910,925,926,928
