Node,Operation,src0,src1,Layer,Vector ID,Segment ID,Group ID,Vector Len,Type,Children,Wait_to_load,mask,GPR Addr,Mem Addr,importance
0,root,,,0,,,-1,0,None,"1, 3, 5, 7, 30, 32, 34, 36, 59, 61, 63, 65, 88, 90, 92, 94, 117, 119, 121, 123, 146, 148, 150, 152, 175, 177, 179, 181, 204, 206, 208, 210, 233, 235, 237, 239, 262, 264, 266, 268, 291, 293, 295, 297, 320, 322, 324, 326, 349, 351, 353, 355, 378, 380, 382, 384, 407, 409, 411, 413, 436, 438, 440, 442, 465, 467, 469, 471, 494, 496, 498, 500, 523, 525, 527, 529, 552, 554, 556, 558, 581, 583, 585, 587, 610, 612, 614, 616, 639, 641, 643, 645, 668, 670, 672, 674, 697, 699, 701, 703, 726, 728, 730, 732, 755, 757, 759, 761, 784, 786, 788, 790, 813, 815, 817, 819, 842, 844, 846, 848, 871, 873, 875, 877, 900, 902, 904, 906",False,0,,,0
1,load,0,,1,0.0,0,0,256,Vector,"2, 12",True,0,0,0,-1
2,reduce_max,1,,2,0.0,0,0,1,Scalar,9,False,0,0,,-2
3,load,1,,1,0.0,1,0,256,Vector,"4, 15",True,0,1,1,-3
4,reduce_max,3,,2,0.0,1,0,1,Scalar,9,False,0,1,,-4
5,load,2,,1,0.0,2,0,256,Vector,"6, 18",True,0,2,2,-5
6,reduce_max,5,,2,0.0,2,0,1,Scalar,10,False,0,2,,-6
7,load,3,,1,0.0,3,0,256,Vector,"8, 21",True,0,3,3,-7
8,reduce_max,7,,2,0.0,3,0,1,Scalar,10,False,0,3,,-8
9,max,2,4,3,0.0,,0,1,Scalar,11,False,0,4,,-9
10,max,6,8,3,0.0,,0,1,Scalar,11,False,0,5,,-10
11,max,9,10,4,0.0,,0,1,Scalar,"12, 15, 18, 21, 28",False,0,6,,-11
12,sub,1,11,5,0.0,0,0,256,Vector,13,False,0,4,,-12
13,exp,12,,6,0.0,0,0,256,Vector,14,False,0,5,,-13
14,reduce_sum,13,,7,0.0,0,0,1,Scalar,24,False,0,7,,-14
15,sub,3,11,5,0.0,1,0,256,Vector,16,False,0,6,,-15
16,exp,15,,6,0.0,1,0,256,Vector,17,False,0,7,,-16
17,reduce_sum,16,,7,0.0,1,0,1,Scalar,24,False,0,8,,-17
18,sub,5,11,5,0.0,2,0,256,Vector,19,False,0,8,,-18
19,exp,18,,6,0.0,2,0,256,Vector,20,False,0,9,,-19
20,reduce_sum,19,,7,0.0,2,0,1,Scalar,25,False,0,9,,-20
