t,half,imm,connect,dst,src1,src0,mask,optype
0,00,0,00,00000000,00000000,00000000,0,0000
1,00,0,00,00000000,00000000,00000000,0,0000
2,00,0,00,00000000,00000000,00000000,0,0000
3,00,0,01,00000000,00000000,00000000,0,1100
4,00,0,01,00000001,00000000,00000001,0,1100
5,00,0,01,00000010,00000000,00000010,0,1100
6,00,0,01,00000011,00000000,00000011,0,1100
7,00,0,01,00010000,00000000,00001100,0,1100
8,00,0,01,00010001,00000000,00001101,0,1100
9,00,0,01,00010010,00000000,00001110,0,1100
10,00,0,01,00010011,00000000,00001111,0,1100
11,00,0,00,00000000,00000000,00000000,0,0000
12,00,0,01,00100000,00000000,00011000,0,1100
13,00,0,01,00100010,00000000,00011010,0,1100
14,00,0,01,00100001,00000000,00011001,0,1100
15,00,0,01,00100011,00000000,00011011,0,1100
16,00,0,01,00110000,00000000,00100100,0,1100
17,00,0,01,00110010,00000000,00100110,0,1100
18,00,0,01,00110001,00000000,00100101,0,1100
19,00,0,01,00110011,00000000,00100111,0,1100
20,00,0,01,01000000,00000000,00110000,0,1100
21,00,0,01,01000001,00000000,00110001,0,1100
22,00,0,01,01000010,00000000,00110010,0,1100
23,00,0,01,01000011,00000000,00110011,0,1100
24,00,0,01,01010000,00000000,00111100,0,1100
25,00,0,01,01010001,00000000,00111101,0,1100
26,00,0,01,01010010,00000000,00111110,0,1100
27,00,0,10,00000100,00000110,00000000,0,0011
28,00,0,10,00000110,00000110,00000001,0,0011
29,00,0,10,00001000,00000110,00000010,0,0011
30,00,0,10,00001010,00000110,00000011,0,0011
31,00,0,10,00010000,00010110,00001100,0,0011
32,00,0,10,00010010,00010110,00001101,0,0011
33,00,0,10,00010100,00010110,00001110,0,0011
34,00,0,10,00010110,00010110,00001111,0,0011
35,00,0,01,01010011,00000000,00111111,0,1100
36,00,0,10,00011100,00100110,00011000,0,0011
37,00,0,10,00011110,00100110,00011001,0,0011
38,00,0,10,00100010,00100110,00011011,0,0011
39,00,0,10,00100000,00100110,00011010,0,0011
40,00,0,10,00101000,00110110,00100100,0,0011
41,00,0,10,00101010,00110110,00100101,0,0011
42,00,0,01,01100001,00000000,01001001,0,1100
43,00,0,01,01100000,00000000,01001000,0,1100
44,00,0,01,01100010,00000000,01001010,0,1100
45,00,0,01,01100011,00000000,01001011,0,1100
46,00,0,01,01110000,00000000,01010100,0,1100
47,00,0,01,01110001,00000000,01010101,0,1100
48,00,0,01,01110010,00000000,01010110,0,1100
49,00,0,01,01110011,00000000,01010111,0,1100
50,00,0,01,10000001,00000000,01100001,0,1100
51,00,0,01,10000010,00000000,01100010,0,1100
52,00,0,01,10000000,00000000,01100000,0,1100
53,00,0,01,10000011,00000000,01100011,0,1100
54,00,0,01,10010001,00000000,01101101,0,1100
55,00,0,01,10010000,00000000,01101100,0,1100
56,00,0,01,10010010,00000000,01101110,0,1100
57,00,0,01,10010011,00000000,01101111,0,1100
58,00,0,01,10100001,00000000,01111001,0,1100
59,00,0,01,10100000,00000000,01111000,0,1100
60,00,0,01,10100010,00000000,01111010,0,1100
61,00,0,01,10100011,00000000,01111011,0,1100
62,00,0,01,00000111,00000000,00000101,0,1011
63,00,0,01,10110000,00000000,10000100,0,1100
64,00,0,01,10110010,00000000,10000110,0,1100
65,00,0,01,10110001,00000000,10000101,0,1100
66,00,0,01,00001000,00000000,00000111,0,1011
67,00,0,01,11000000,00000000,10010000,0,1100
68,00,0,01,10110011,00000000,10000111,0,1100
69,00,0,01,11000010,00000000,10010010,0,1100
70,00,0,01,00001001,00000000,00001001,0,1011
71,00,0,01,11000001,00000000,10010001,0,1100
72,00,0,01,11000011,00000000,10010011,0,1100
73,00,0,01,11010000,00000000,10011100,0,1100
74,00,0,01,00001010,00000000,00001011,0,1011
75,00,0,01,11010010,00000000,10011110,0,1100
76,00,0,01,11010001,00000000,10011101,0,1100
77,00,0,01,11010011,00000000,10011111,0,1100
78,00,0,01,00010111,00000000,00010001,0,1011
79,00,0,01,11100001,00000000,10101001,0,1100
80,00,0,01,11100000,00000000,10101000,0,1100
81,00,0,01,11100010,00000000,10101010,0,1100
82,00,0,01,00011000,00000000,00010011,0,1011
