case,mask,count,fraction
softmax_x32,000000,193,0.37475728155339805
softmax_x32,001000,86,0.1669902912621359
softmax_x32,101000,37,0.07184466019417475
softmax_x32,000010,37,0.07184466019417475
softmax_x32,011000,36,0.06990291262135923
softmax_x32,001010,31,0.06019417475728155
softmax_x32,001100,27,0.05242718446601942
softmax_x32,101100,14,0.027184466019417475
softmax_x32,010000,14,0.027184466019417475
softmax_x32,001110,8,0.015533980582524271
softmax_x32,101010,5,0.009708737864077669
softmax_x32,101110,5,0.009708737864077669
softmax_x32,010010,5,0.009708737864077669
softmax_x32,000100,4,0.007766990291262136
softmax_x32,100000,3,0.005825242718446602
softmax_x32,011010,3,0.005825242718446602
softmax_x32,011100,3,0.005825242718446602
softmax_x32,010110,1,0.001941747572815534
softmax_x32,011110,1,0.001941747572815534
softmax_x32,010100,1,0.001941747572815534
softmax_x32,000001,1,0.001941747572815534
softmax_x64,000000,361,0.37254901960784315
softmax_x64,001000,179,0.18472652218782248
softmax_x64,001010,82,0.0846233230134159
softmax_x64,011000,50,0.05159958720330237
softmax_x64,101000,49,0.05056759545923633
softmax_x64,001100,49,0.05056759545923633
softmax_x64,000010,45,0.04643962848297214
softmax_x64,111000,36,0.03715170278637771
softmax_x64,001110,18,0.018575851393188854
softmax_x64,101100,16,0.016511867905056758
softmax_x64,000100,15,0.015479876160990712
softmax_x64,000110,10,0.010319917440660475
softmax_x64,010000,10,0.010319917440660475
softmax_x64,010010,8,0.008255933952528379
softmax_x64,101010,7,0.007223942208462332
softmax_x64,111010,7,0.007223942208462332
softmax_x64,101110,5,0.005159958720330237
softmax_x64,011100,5,0.005159958720330237
softmax_x64,011110,5,0.005159958720330237
softmax_x64,100000,4,0.0041279669762641896
softmax_x64,111110,2,0.0020639834881320948
softmax_x64,110010,1,0.0010319917440660474
softmax_x64,111100,1,0.0010319917440660474
softmax_x64,011010,1,0.0010319917440660474
softmax_x64,010110,1,0.0010319917440660474
softmax_x64,010100,1,0.0010319917440660474
softmax_x64,000001,1,0.0010319917440660474
layernorm_x32,001000,283,0.3670557717250324
layernorm_x32,001100,198,0.25680933852140075
layernorm_x32,000000,54,0.07003891050583658
layernorm_x32,001010,43,0.055771725032425425
layernorm_x32,101000,42,0.054474708171206226
layernorm_x32,011000,35,0.04539559014267185
layernorm_x32,111000,20,0.02594033722438392
layernorm_x32,101100,18,0.023346303501945526
layernorm_x32,000100,15,0.019455252918287938
layernorm_x32,010000,15,0.019455252918287938
layernorm_x32,011100,10,0.01297016861219196
layernorm_x32,100000,9,0.011673151750972763
layernorm_x32,001110,7,0.009079118028534372
layernorm_x32,111100,5,0.00648508430609598
layernorm_x32,111010,4,0.005188067444876783
layernorm_x32,011010,3,0.0038910505836575876
layernorm_x32,101010,3,0.0038910505836575876
layernorm_x32,000010,2,0.0025940337224383916
layernorm_x32,010100,2,0.0025940337224383916
layernorm_x32,111110,1,0.0012970168612191958
layernorm_x32,010010,1,0.0012970168612191958
layernorm_x32,000001,1,0.0012970168612191958
layernorm_x64,001000,552,0.38068965517241377
layernorm_x64,001100,389,0.26827586206896553
layernorm_x64,001010,86,0.05931034482758621
layernorm_x64,101000,78,0.05379310344827586
layernorm_x64,011000,70,0.04827586206896552
layernorm_x64,000000,67,0.046206896551724136
layernorm_x64,111000,41,0.028275862068965516
layernorm_x64,101100,39,0.02689655172413793
layernorm_x64,011100,37,0.025517241379310347
layernorm_x64,111100,14,0.009655172413793104
layernorm_x64,001110,13,0.00896551724137931
layernorm_x64,000100,12,0.008275862068965517
layernorm_x64,010000,11,0.007586206896551724
layernorm_x64,100000,9,0.006206896551724138
layernorm_x64,101010,8,0.005517241379310344
layernorm_x64,011010,7,0.004827586206896552
layernorm_x64,111010,6,0.004137931034482759
layernorm_x64,111110,3,0.0020689655172413794
layernorm_x64,000110,2,0.001379310344827586
layernorm_x64,010100,2,0.001379310344827586
layernorm_x64,000010,2,0.001379310344827586
layernorm_x64,011110,1,0.000689655172413793
layernorm_x64,000001,1,0.000689655172413793
gelu_x32,000000,593,0.3801282051282051
gelu_x32,010000,294,0.18846153846153846
gelu_x32,000010,288,0.18461538461538463
gelu_x32,100000,198,0.12692307692307692
gelu_x32,100010,96,0.06153846153846154
gelu_x32,110000,90,0.057692307692307696
gelu_x32,000001,1,0.000641025641025641
gelu_x64,000000,1169,0.3775839793281654
gelu_x64,010000,582,0.187984496124031
gelu_x64,000010,576,0.18604651162790697
gelu_x64,100000,390,0.12596899224806202
gelu_x64,100010,192,0.06201550387596899
gelu_x64,110000,186,0.060077519379844964
gelu_x64,000001,1,0.00032299741602067185
logsoftmax_x32,000000,492,0.2638069705093834
logsoftmax_x32,001000,426,0.22841823056300267
logsoftmax_x32,101000,138,0.07399463806970509
logsoftmax_x32,000100,136,0.07292225201072386
logsoftmax_x32,010000,128,0.06863270777479893
logsoftmax_x32,001010,116,0.06219839142091153
logsoftmax_x32,001100,110,0.058981233243967826
logsoftmax_x32,001110,77,0.04128686327077748
logsoftmax_x32,101100,48,0.025737265415549597
logsoftmax_x32,011000,35,0.01876675603217158
logsoftmax_x32,010100,29,0.015549597855227882
logsoftmax_x32,101010,22,0.011796246648793566
logsoftmax_x32,011010,20,0.010723860589812333
logsoftmax_x32,000010,14,0.007506702412868633
logsoftmax_x32,101110,10,0.005361930294906166
logsoftmax_x32,110000,9,0.00482573726541555
logsoftmax_x32,100000,8,0.004289544235924933
logsoftmax_x32,100100,6,0.0032171581769436996
logsoftmax_x32,011100,6,0.0032171581769436996
logsoftmax_x32,011110,6,0.0032171581769436996
logsoftmax_x32,010110,5,0.002680965147453083
logsoftmax_x32,111100,5,0.002680965147453083
logsoftmax_x32,110110,5,0.002680965147453083
logsoftmax_x32,000110,5,0.002680965147453083
logsoftmax_x32,111010,5,0.002680965147453083
logsoftmax_x32,010010,3,0.0016085790884718498
logsoftmax_x32,000001,1,0.0005361930294906167
logsoftmax_x64,000000,908,0.24883529734173745
logsoftmax_x64,001000,842,0.230748150178131
logsoftmax_x64,000100,296,0.08111811455193203
logsoftmax_x64,101000,282,0.07728144697177308
logsoftmax_x64,010000,240,0.06577144423129624
logsoftmax_x64,001010,236,0.06467525349410798
logsoftmax_x64,001100,222,0.06083858591394903
logsoftmax_x64,001110,141,0.03864072348588654
logsoftmax_x64,011000,83,0.02274595779665662
logsoftmax_x64,101100,80,0.021923814743765414
logsoftmax_x64,101010,46,0.012606193477665114
logsoftmax_x64,010100,45,0.012332145793368046
logsoftmax_x64,011010,44,0.012058098109070978
logsoftmax_x64,000010,22,0.006029049054535489
logsoftmax_x64,101110,18,0.004932858317347218
logsoftmax_x64,110000,17,0.004658810633050151
logsoftmax_x64,100000,16,0.004384762948753083
logsoftmax_x64,100100,14,0.0038366675801589476
logsoftmax_x64,011100,14,0.0038366675801589476
logsoftmax_x64,011110,14,0.0038366675801589476
logsoftmax_x64,010110,13,0.00356261989586188
logsoftmax_x64,111100,13,0.00356261989586188
logsoftmax_x64,110110,13,0.00356261989586188
logsoftmax_x64,000110,13,0.00356261989586188
logsoftmax_x64,111010,13,0.00356261989586188
logsoftmax_x64,010010,3,0.000822143052891203
logsoftmax_x64,000001,1,0.0002740476842970677
softplus_x32,000000,772,0.5752608047690015
softplus_x32,000010,211,0.1572280178837556
softplus_x32,001000,105,0.07824143070044709
softplus_x32,010000,102,0.07600596125186289
softplus_x32,100000,80,0.05961251862891207
softplus_x32,100010,32,0.02384500745156483
softplus_x32,110000,16,0.011922503725782414
softplus_x32,001010,13,0.009687034277198211
softplus_x32,011000,10,0.007451564828614009
softplus_x32,000001,1,0.0007451564828614009
softplus_x64,000000,1549,0.577123695976155
softplus_x64,000010,423,0.1576005961251863
softplus_x64,001000,222,0.08271236959761549
softplus_x64,010000,199,0.0741430700447094
softplus_x64,100000,144,0.05365126676602087
softplus_x64,100010,64,0.02384500745156483
softplus_x64,110000,48,0.01788375558867362
softplus_x64,001010,25,0.009314456035767511
softplus_x64,011000,9,0.0033532041728763042
softplus_x64,000001,1,0.00037257824143070045
logsumexp_x32,000000,305,0.3513824884792627
logsumexp_x32,001000,166,0.1912442396313364
logsumexp_x32,000100,65,0.0748847926267281
logsumexp_x32,001100,60,0.06912442396313365
logsumexp_x32,001010,49,0.056451612903225805
logsumexp_x32,101000,41,0.04723502304147465
logsumexp_x32,000110,39,0.044930875576036866
logsumexp_x32,101100,27,0.03110599078341014
logsumexp_x32,100000,24,0.027649769585253458
logsumexp_x32,001110,23,0.026497695852534562
logsumexp_x32,000010,16,0.018433179723502304
logsumexp_x32,010000,7,0.008064516129032258
logsumexp_x32,100100,6,0.0069124423963133645
logsumexp_x32,110010,6,0.0069124423963133645
logsumexp_x32,100010,6,0.0069124423963133645
logsumexp_x32,111010,5,0.00576036866359447
logsumexp_x32,110000,5,0.00576036866359447
logsumexp_x32,101010,4,0.004608294930875576
logsumexp_x32,101110,4,0.004608294930875576
logsumexp_x32,011010,4,0.004608294930875576
logsumexp_x32,010010,4,0.004608294930875576
logsumexp_x32,011000,1,0.001152073732718894
logsumexp_x32,000001,1,0.001152073732718894
logsumexp_x64,000000,495,0.3010948905109489
logsumexp_x64,001000,367,0.2232360097323601
logsumexp_x64,000100,140,0.0851581508515815
