case,cycles,word_width_bits,total_bits,total_bytes
softmax_x32,515,184,94760,11845.000
softmax_x64,969,184,178296,22287.000
layernorm_x32,771,184,141864,17733.000
layernorm_x64,1450,184,266800,33350.000
gelu_x32,1560,184,287040,35880.000
gelu_x64,3096,184,569664,71208.000
logsoftmax_x32,1865,184,343160,42895.000
logsoftmax_x64,3649,184,671416,83927.000
softplus_x32,1342,184,246928,30866.000
softplus_x64,2684,184,493856,61732.000
logsumexp_x32,868,184,159712,19964.000
logsumexp_x64,1644,184,302496,37812.000
