case,fetch_bits_per_cycle,minimum_initial_prefill_bits,worst_deadline_cycle
softmax_x32,32,4691,119
softmax_x32,64,1567,65
softmax_x32,96,0,0
softmax_x32,128,0,0
softmax_x32,160,0,0
softmax_x32,184,0,0
softmax_x64,32,9451,585
softmax_x64,64,1567,65
softmax_x64,96,0,0
softmax_x64,128,0,0
softmax_x64,160,0,0
softmax_x64,184,0,0
layernorm_x32,32,17453,682
layernorm_x32,64,701,46
layernorm_x32,96,0,0
layernorm_x32,128,0,0
layernorm_x32,160,0,0
layernorm_x32,184,0,0
layernorm_x64,32,37078,1342
layernorm_x64,64,701,46
layernorm_x64,96,0,0
layernorm_x64,128,0,0
layernorm_x64,160,0,0
layernorm_x64,184,0,0
gelu_x32,32,3826,178
gelu_x32,64,0,0
gelu_x32,96,0,0
gelu_x32,128,0,0
gelu_x32,160,0,0
gelu_x32,184,0,0
gelu_x64,32,3826,178
gelu_x64,64,0,0
gelu_x64,96,0,0
gelu_x64,128,0,0
gelu_x64,160,0,0
gelu_x64,184,0,0
logsoftmax_x32,32,21328,1592
logsoftmax_x32,64,1686,63
logsoftmax_x32,96,0,0
logsoftmax_x32,128,0,0
logsoftmax_x32,160,0,0
logsoftmax_x32,184,0,0
logsoftmax_x64,32,43376,3376
logsoftmax_x64,64,1686,63
logsoftmax_x64,96,0,0
logsoftmax_x64,128,0,0
logsoftmax_x64,160,0,0
logsoftmax_x64,184,0,0
softplus_x32,32,1136,63
softplus_x32,64,0,0
softplus_x32,96,0,0
softplus_x32,128,0,0
softplus_x32,160,0,0
softplus_x32,184,0,0
softplus_x64,32,1136,63
softplus_x64,64,0,0
softplus_x64,96,0,0
softplus_x64,128,0,0
softplus_x64,160,0,0
softplus_x64,184,0,0
logsumexp_x32,32,8058,496
logsumexp_x32,64,1720,66
logsumexp_x32,96,0,0
logsumexp_x32,128,0,0
logsumexp_x32,160,0,0
logsumexp_x32,184,0,0
logsumexp_x64,32,15300,1274
logsumexp_x64,64,1720,66
logsumexp_x64,96,0,0
logsumexp_x64,128,0,0
logsumexp_x64,160,0,0
logsumexp_x64,184,0,0
