case,average_payload_bits_per_cycle,window_cycles,max_payload_bits,max_average_bits_per_cycle,window_start
softmax_x32,36.97864077669903,1,138,138.0,41
softmax_x32,36.97864077669903,2,214,107.0,40
softmax_x32,36.97864077669903,4,397,99.25,38
softmax_x32,36.97864077669903,8,794,99.25,38
softmax_x32,36.97864077669903,16,1588,99.25,38
softmax_x32,36.97864077669903,32,3052,95.375,32
softmax_x32,36.97864077669903,64,5707,89.171875,2
softmax_x32,36.97864077669903,128,8624,67.375,0
softmax_x64,39.30237358101135,1,180,180.0,413
softmax_x64,39.30237358101135,2,298,149.0,412
softmax_x64,39.30237358101135,4,534,133.5,256
softmax_x64,39.30237358101135,8,1006,125.75,254
softmax_x64,39.30237358101135,16,1696,106.0,254
softmax_x64,39.30237358101135,32,3052,95.375,32
softmax_x64,39.30237358101135,64,5707,89.171875,2
softmax_x64,39.30237358101135,128,9142,71.421875,0
layernorm_x32,53.29182879377432,1,180,180.0,172
layernorm_x32,53.29182879377432,2,298,149.0,171
layernorm_x32,53.29182879377432,4,492,123.0,169
layernorm_x32,53.29182879377432,8,858,107.25,169
layernorm_x32,53.29182879377432,16,1619,101.1875,28
layernorm_x32,53.29182879377432,32,2897,90.53125,12
layernorm_x32,53.29182879377432,64,4781,74.703125,8
layernorm_x32,53.29182879377432,128,8405,65.6640625,133
layernorm_x64,56.49655172413793,1,180,180.0,172
layernorm_x64,56.49655172413793,2,298,149.0,171
layernorm_x64,56.49655172413793,4,492,123.0,169
layernorm_x64,56.49655172413793,8,858,107.25,169
layernorm_x64,56.49655172413793,16,1619,101.1875,28
layernorm_x64,56.49655172413793,32,2897,90.53125,12
layernorm_x64,56.49655172413793,64,4781,74.703125,8
layernorm_x64,56.49655172413793,128,8405,65.6640625,133
gelu_x32,28.31025641025641,1,84,84.0,26
gelu_x32,28.31025641025641,2,157,78.5,26
gelu_x32,28.31025641025641,4,241,60.25,23
gelu_x32,28.31025641025641,8,482,60.25,23
gelu_x32,28.31025641025641,16,964,60.25,23
gelu_x32,28.31025641025641,32,1928,60.25,23
gelu_x32,28.31025641025641,64,3856,60.25,23
gelu_x32,28.31025641025641,128,7628,59.59375,15
gelu_x64,28.52842377260982,1,84,84.0,26
gelu_x64,28.52842377260982,2,157,78.5,26
gelu_x64,28.52842377260982,4,241,60.25,23
gelu_x64,28.52842377260982,8,482,60.25,23
gelu_x64,28.52842377260982,16,964,60.25,23
gelu_x64,28.52842377260982,32,1928,60.25,23
gelu_x64,28.52842377260982,64,3856,60.25,23
gelu_x64,28.52842377260982,128,7628,59.59375,15
logsoftmax_x32,42.4343163538874,1,149,149.0,457
logsoftmax_x32,42.4343163538874,2,245,122.5,62
logsoftmax_x32,42.4343163538874,4,428,107.0,23
logsoftmax_x32,42.4343163538874,8,825,103.125,28
logsoftmax_x32,42.4343163538874,16,1619,101.1875,23
logsoftmax_x32,42.4343163538874,32,3145,98.28125,15
logsoftmax_x32,42.4343163538874,64,5789,90.453125,3
logsoftmax_x32,42.4343163538874,128,8598,67.171875,2
logsoftmax_x64,43.375171279802686,1,149,149.0,457
logsoftmax_x64,43.375171279802686,2,245,122.5,62
logsoftmax_x64,43.375171279802686,4,428,107.0,23
logsoftmax_x64,43.375171279802686,8,825,103.125,28
logsoftmax_x64,43.375171279802686,16,1619,101.1875,23
logsoftmax_x64,43.375171279802686,32,3145,98.28125,15
logsoftmax_x64,43.375171279802686,64,5789,90.453125,3
logsoftmax_x64,43.375171279802686,128,8598,67.171875,2
softplus_x32,17.171385991058123,1,84,84.0,321
softplus_x32,17.171385991058123,2,141,70.5,1049
softplus_x32,17.171385991058123,4,241,60.25,321
softplus_x32,17.171385991058123,8,398,49.75,0
softplus_x32,17.171385991058123,16,796,49.75,0
softplus_x32,17.171385991058123,32,1592,49.75,0
softplus_x32,17.171385991058123,64,3184,49.75,0
softplus_x32,17.171385991058123,128,3680,28.75,0
softplus_x64,17.1698956780924,1,84,84.0,321
softplus_x64,17.1698956780924,2,141,70.5,2399
softplus_x64,17.1698956780924,4,241,60.25,321
softplus_x64,17.1698956780924,8,398,49.75,0
softplus_x64,17.1698956780924,16,796,49.75,0
softplus_x64,17.1698956780924,32,1592,49.75,0
softplus_x64,17.1698956780924,64,3184,49.75,0
softplus_x64,17.1698956780924,128,3680,28.75,0
logsumexp_x32,36.50230414746544,1,149,149.0,146
logsumexp_x32,36.50230414746544,2,245,122.5,42
logsumexp_x32,36.50230414746544,4,459,114.75,59
logsumexp_x32,36.50230414746544,8,825,103.125,49
logsumexp_x32,36.50230414746544,16,1639,102.4375,49
logsumexp_x32,36.50230414746544,32,3114,97.3125,31
logsumexp_x32,36.50230414746544,64,5882,91.90625,3
logsumexp_x32,36.50230414746544,128,8673,67.7578125,0
logsumexp_x64,38.54257907542579,1,149,149.0,146
logsumexp_x64,38.54257907542579,2,245,122.5,42
logsumexp_x64,38.54257907542579,4,459,114.75,59
logsumexp_x64,38.54257907542579,8,825,103.125,49
logsumexp_x64,38.54257907542579,16,1639,102.4375,49
logsumexp_x64,38.54257907542579,32,3114,97.3125,31
logsumexp_x64,38.54257907542579,64,5882,91.90625,3
logsumexp_x64,38.54257907542579,128,8673,67.7578125,0
