case,phase,slot,field,width,iterations,base,stride,matches,residuals,match_fraction
softmax_x32,3,vector,dst,8,4,129,1,2,2,0.5
softmax_x32,3,vector,src1,8,4,0,0,4,0,1.0
softmax_x32,3,vector,src0,8,4,147,2,2,2,0.5
softmax_x32,3,sfu,dst,8,4,177,2,2,2,0.5
softmax_x32,3,sfu,src,8,4,176,2,2,2,0.5
softmax_x64,3,vector,dst,8,4,27,1,2,2,0.5
softmax_x64,3,vector,src1,8,4,0,0,4,0,1.0
softmax_x64,3,vector,src0,8,4,67,2,2,2,0.5
softmax_x64,3,sfu,dst,8,4,97,2,2,2,0.5
softmax_x64,3,sfu,src,8,4,96,2,2,2,0.5
layernorm_x32,0,load,mem_addr,28,13,9,1,13,0,1.0
layernorm_x32,0,load,gpr_addr,8,13,24,1,3,10,0.23076923076923078
layernorm_x32,0,vector,dst,8,13,0,1,3,10,0.23076923076923078
layernorm_x32,0,vector,src1,8,13,0,0,13,0,1.0
layernorm_x32,0,vector,src0,8,13,6,1,3,10,0.23076923076923078
layernorm_x64,0,load,mem_addr,28,13,9,1,13,0,1.0
layernorm_x64,0,load,gpr_addr,8,13,24,1,3,10,0.23076923076923078
layernorm_x64,0,vector,dst,8,13,0,1,3,10,0.23076923076923078
layernorm_x64,0,vector,src1,8,13,0,0,13,0,1.0
layernorm_x64,0,vector,src0,8,13,6,1,3,10,0.23076923076923078
gelu_x32,2,store,mem_addr,28,21,30,12,21,0,1.0
gelu_x32,2,store,gpr_addr,8,21,61,24,21,0,1.0
gelu_x32,3,sfu,dst,8,21,73,24,21,0,1.0
gelu_x32,3,sfu,src,8,21,72,24,21,0,1.0
gelu_x32,6,store,mem_addr,28,21,31,12,21,0,1.0
gelu_x32,6,store,gpr_addr,8,21,63,24,21,0,1.0
gelu_x32,7,sfu,dst,8,21,75,24,21,0,1.0
gelu_x32,7,sfu,src,8,21,74,24,21,0,1.0
gelu_x32,10,store,mem_addr,28,21,32,12,21,0,1.0
gelu_x32,10,store,gpr_addr,8,21,65,24,21,0,1.0
gelu_x32,11,sfu,dst,8,21,77,24,21,0,1.0
gelu_x32,11,sfu,src,8,21,76,24,21,0,1.0
gelu_x32,14,store,mem_addr,28,21,33,12,21,0,1.0
gelu_x32,14,store,gpr_addr,8,21,67,24,21,0,1.0
gelu_x32,15,sfu,dst,8,21,79,24,21,0,1.0
gelu_x32,15,sfu,src,8,21,78,24,21,0,1.0
gelu_x32,18,store,mem_addr,28,21,34,12,21,0,1.0
gelu_x32,18,store,gpr_addr,8,21,69,24,21,0,1.0
gelu_x32,19,sfu,dst,8,21,81,24,21,0,1.0
gelu_x32,19,sfu,src,8,21,80,24,21,0,1.0
gelu_x32,22,load,mem_addr,28,20,144,12,20,0,1.0
gelu_x32,22,load,gpr_addr,8,20,32,24,20,0,1.0
gelu_x32,22,store,mem_addr,28,20,35,12,20,0,1.0
gelu_x32,22,store,gpr_addr,8,20,71,24,20,0,1.0
gelu_x32,23,load,mem_addr,28,20,145,12,20,0,1.0
gelu_x32,23,load,gpr_addr,8,20,34,24,20,0,1.0
gelu_x32,23,sfu,dst,8,20,83,24,20,0,1.0
gelu_x32,23,sfu,src,8,20,82,24,20,0,1.0
gelu_x32,24,load,mem_addr,28,20,146,12,20,0,1.0
gelu_x32,24,load,gpr_addr,8,20,36,24,20,0,1.0
gelu_x32,25,load,mem_addr,28,20,147,12,20,0,1.0
gelu_x32,25,load,gpr_addr,8,20,38,24,20,0,1.0
gelu_x32,26,load,mem_addr,28,20,148,12,20,0,1.0
gelu_x32,26,load,gpr_addr,8,20,40,24,20,0,1.0
gelu_x32,26,store,mem_addr,28,20,36,12,20,0,1.0
gelu_x32,26,store,gpr_addr,8,20,73,24,20,0,1.0
gelu_x32,27,load,mem_addr,28,20,149,12,20,0,1.0
gelu_x32,27,load,gpr_addr,8,20,42,24,20,0,1.0
gelu_x32,27,sfu,dst,8,20,85,24,20,0,1.0
gelu_x32,27,sfu,src,8,20,84,24,20,0,1.0
gelu_x32,28,load,mem_addr,28,20,150,12,20,0,1.0
gelu_x32,28,load,gpr_addr,8,20,44,24,20,0,1.0
gelu_x32,29,load,mem_addr,28,20,151,12,20,0,1.0
gelu_x32,29,load,gpr_addr,8,20,46,24,20,0,1.0
gelu_x32,30,load,mem_addr,28,20,152,12,20,0,1.0
gelu_x32,30,load,gpr_addr,8,20,48,24,20,0,1.0
gelu_x32,30,store,mem_addr,28,20,37,12,20,0,1.0
gelu_x32,30,store,gpr_addr,8,20,75,24,20,0,1.0
gelu_x32,31,load,mem_addr,28,20,153,12,20,0,1.0
gelu_x32,31,load,gpr_addr,8,20,50,24,20,0,1.0
gelu_x32,31,sfu,dst,8,20,87,24,20,0,1.0
gelu_x32,31,sfu,src,8,20,86,24,20,0,1.0
gelu_x32,32,load,mem_addr,28,20,154,12,20,0,1.0
gelu_x32,32,load,gpr_addr,8,20,52,24,20,0,1.0
gelu_x32,33,load,mem_addr,28,20,155,12,20,0,1.0
gelu_x32,33,load,gpr_addr,8,20,54,24,20,0,1.0
gelu_x32,34,store,mem_addr,28,20,38,12,20,0,1.0
gelu_x32,34,store,gpr_addr,8,20,77,24,20,0,1.0
gelu_x32,35,sfu,dst,8,20,89,24,20,0,1.0
gelu_x32,35,sfu,src,8,20,88,24,20,0,1.0
gelu_x32,38,store,mem_addr,28,20,39,12,20,0,1.0
gelu_x32,38,store,gpr_addr,8,20,79,24,20,0,1.0
gelu_x32,39,sfu,dst,8,20,91,24,20,0,1.0
gelu_x32,39,sfu,src,8,20,90,24,20,0,1.0
gelu_x32,42,store,mem_addr,28,20,40,12,20,0,1.0
gelu_x32,42,store,gpr_addr,8,20,81,24,20,0,1.0
gelu_x32,43,sfu,dst,8,20,93,24,20,0,1.0
gelu_x32,43,sfu,src,8,20,92,24,20,0,1.0
gelu_x32,46,store,mem_addr,28,20,41,12,20,0,1.0
gelu_x32,46,store,gpr_addr,8,20,83,24,20,0,1.0
gelu_x32,47,sfu,dst,8,20,95,24,20,0,1.0
gelu_x32,47,sfu,src,8,20,94,24,20,0,1.0
gelu_x64,2,store,mem_addr,28,53,30,12,53,0,1.0
