case,signature,period,autocorrelation_match_ratio,core_start,core_end,core_length,core_coverage,repetitions
softmax_x32,full_word,1,0.24319066147859922,440,447,7,0.013592233009708738,7.0
softmax_x32,structure_without_variable_fields,4,0.49902152641878667,290,309,19,0.036893203883495145,4.75
softmax_x64,full_word,4,0.30466321243523314,894,909,15,0.015479876160990712,3.75
softmax_x64,structure_without_variable_fields,4,0.45906735751295336,598,617,19,0.0196078431372549,4.75
layernorm_x32,full_word,1,0.03636363636363636,705,709,4,0.005188067444876783,4.0
layernorm_x32,structure_without_variable_fields,1,0.20909090909090908,9,22,13,0.016861219195849545,13.0
layernorm_x64,full_word,1,0.028295376121463076,1389,1399,10,0.006896551724137931,10.0
layernorm_x64,structure_without_variable_fields,1,0.1538992408557626,9,22,13,0.00896551724137931,13.0
gelu_x32,full_word,1,0.19178960872354073,1539,1542,3,0.0019230769230769232,3.0
gelu_x32,structure_without_variable_fields,48,0.9603174603174603,144,1126,982,0.6294871794871795,20.458333333333332
gelu_x64,full_word,1,0.18966074313408723,3075,3078,3,0.0009689922480620155,3.0
gelu_x64,structure_without_variable_fields,48,0.9803149606299213,144,2662,2518,0.8133074935400517,52.458333333333336
logsoftmax_x32,full_word,6,0.14039806347498654,1828,1849,21,0.011260053619302948,3.5
logsoftmax_x32,structure_without_variable_fields,223,0.7149817295980512,393,1519,1126,0.6037533512064344,5.04932735426009
logsoftmax_x64,full_word,6,0.12434806478177327,3612,3633,21,0.0057550013702384216,3.5
logsoftmax_x64,structure_without_variable_fields,223,0.8633975481611208,393,3303,2910,0.7974787613044669,13.04932735426009
softplus_x32,full_word,4,0.5059790732436472,256,276,20,0.014903129657228018,5.0
softplus_x32,structure_without_variable_fields,209,0.6513680494263019,237,964,727,0.5417287630402384,3.478468899521531
softplus_x64,full_word,4,0.4944029850746269,256,276,20,0.007451564828614009,5.0
softplus_x64,structure_without_variable_fields,209,0.8379797979797979,237,2307,2070,0.7712369597615499,9.904306220095695
logsumexp_x32,full_word,2,0.18475750577367206,843,850,7,0.008064516129032258,3.5
logsumexp_x32,structure_without_variable_fields,72,0.7977386934673367,122,506,384,0.4423963133640553,5.333333333333333
logsumexp_x64,full_word,4,0.15548780487804878,1613,1634,21,0.012773722627737226,5.25
logsumexp_x64,structure_without_variable_fields,72,0.8956743002544529,122,1282,1160,0.7055961070559611,16.11111111111111
