case,original_bits,global_header_bits,slot_descriptor_bits,initial_cycle_bits,gap_dictionary_bits,gap_index_stream_bits,raw_payload_bits,total_bits,ratio_to_original,reduction_vs_li_padded
softmax_x32,94760,64,384,60,273,1649,19044,21474,0.226615,0.572725
softmax_x64,178296,64,384,60,404,4459,38084,43455,0.243724,0.565823
layernorm_x32,141864,64,384,60,485,4227,41088,46308,0.326425,0.639172
layernorm_x64,266800,64,384,66,694,9159,81920,92287,0.345903,0.639588
gelu_x32,287040,64,384,44,24,766,44164,45446,0.158326,0.432493
gelu_x64,569664,64,384,48,24,1534,88324,90378,0.158651,0.434968
logsoftmax_x32,343160,64,384,66,270,7535,79140,87459,0.254864,0.561982
logsoftmax_x64,671416,64,384,72,270,15087,158276,174153,0.259382,0.563296
softplus_x32,246928,64,384,55,135,1653,23044,25335,0.102601,0.541199
softplus_x64,493856,64,384,60,135,3317,46084,50044,0.101333,0.546604
logsumexp_x32,159712,64,384,60,190,2961,31684,35343,0.221292,0.534520
logsumexp_x64,302496,64,384,66,190,5618,63364,69686,0.230370,0.539236
