Vector Index,Segment ID,Start Index,Length,Load Node,Exp Node,Ln Node,Store Node
0,0,0,256,2,3,5,6
0,1,256,256,7,8,10,11
0,2,512,256,12,13,15,16
0,3,768,256,17,18,20,21
1,0,0,256,22,23,25,26
1,1,256,256,27,28,30,31
1,2,512,256,32,33,35,36
1,3,768,256,37,38,40,41
2,0,0,256,42,43,45,46
2,1,256,256,47,48,50,51
2,2,512,256,52,53,55,56
2,3,768,256,57,58,60,61
3,0,0,256,62,63,65,66
3,1,256,256,67,68,70,71
3,2,512,256,72,73,75,76
3,3,768,256,77,78,80,81
4,0,0,256,82,83,85,86
4,1,256,256,87,88,90,91
4,2,512,256,92,93,95,96
4,3,768,256,97,98,100,101
5,0,0,256,102,103,105,106
5,1,256,256,107,108,110,111
5,2,512,256,112,113,115,116
5,3,768,256,117,118,120,121
6,0,0,256,122,123,125,126
6,1,256,256,127,128,130,131
6,2,512,256,132,133,135,136
6,3,768,256,137,138,140,141
7,0,0,256,142,143,145,146
7,1,256,256,147,148,150,151
7,2,512,256,152,153,155,156
7,3,768,256,157,158,160,161
8,0,0,256,162,163,165,166
8,1,256,256,167,168,170,171
8,2,512,256,172,173,175,176
8,3,768,256,177,178,180,181
9,0,0,256,182,183,185,186
9,1,256,256,187,188,190,191
9,2,512,256,192,193,195,196
9,3,768,256,197,198,200,201
10,0,0,256,202,203,205,206
10,1,256,256,207,208,210,211
10,2,512,256,212,213,215,216
10,3,768,256,217,218,220,221
11,0,0,256,222,223,225,226
11,1,256,256,227,228,230,231
11,2,512,256,232,233,235,236
11,3,768,256,237,238,240,241
12,0,0,256,242,243,245,246
12,1,256,256,247,248,250,251
12,2,512,256,252,253,255,256
12,3,768,256,257,258,260,261
13,0,0,256,262,263,265,266
13,1,256,256,267,268,270,271
13,2,512,256,272,273,275,276
13,3,768,256,277,278,280,281
14,0,0,256,282,283,285,286
14,1,256,256,287,288,290,291
14,2,512,256,292,293,295,296
14,3,768,256,297,298,300,301
15,0,0,256,302,303,305,306
15,1,256,256,307,308,310,311
15,2,512,256,312,313,315,316
15,3,768,256,317,318,320,321
16,0,0,256,322,323,325,326
16,1,256,256,327,328,330,331
16,2,512,256,332,333,335,336
16,3,768,256,337,338,340,341
17,0,0,256,342,343,345,346
17,1,256,256,347,348,350,351
17,2,512,256,352,353,355,356
17,3,768,256,357,358,360,361
18,0,0,256,362,363,365,366
18,1,256,256,367,368,370,371
18,2,512,256,372,373,375,376
18,3,768,256,377,378,380,381
19,0,0,256,382,383,385,386
19,1,256,256,387,388,390,391
19,2,512,256,392,393,395,396
19,3,768,256,397,398,400,401
20,0,0,256,402,403,405,406
20,1,256,256,407,408,410,411
20,2,512,256,412,413,415,416
20,3,768,256,417,418,420,421
21,0,0,256,422,423,425,426
21,1,256,256,427,428,430,431
21,2,512,256,432,433,435,436
21,3,768,256,437,438,440,441
22,0,0,256,442,443,445,446
22,1,256,256,447,448,450,451
22,2,512,256,452,453,455,456
22,3,768,256,457,458,460,461
23,0,0,256,462,463,465,466
23,1,256,256,467,468,470,471
23,2,512,256,472,473,475,476
23,3,768,256,477,478,480,481
24,0,0,256,482,483,485,486
24,1,256,256,487,488,490,491
24,2,512,256,492,493,495,496
24,3,768,256,497,498,500,501
25,0,0,256,502,503,505,506
25,1,256,256,507,508,510,511
25,2,512,256,512,513,515,516
25,3,768,256,517,518,520,521
26,0,0,256,522,523,525,526
26,1,256,256,527,528,530,531
26,2,512,256,532,533,535,536
26,3,768,256,537,538,540,541
27,0,0,256,542,543,545,546
27,1,256,256,547,548,550,551
27,2,512,256,552,553,555,556
27,3,768,256,557,558,560,561
28,0,0,256,562,563,565,566
28,1,256,256,567,568,570,571
28,2,512,256,572,573,575,576
28,3,768,256,577,578,580,581
29,0,0,256,582,583,585,586
29,1,256,256,587,588,590,591
29,2,512,256,592,593,595,596
29,3,768,256,597,598,600,601
30,0,0,256,602,603,605,606
30,1,256,256,607,608,610,611
30,2,512,256,612,613,615,616
30,3,768,256,617,618,620,621
31,0,0,256,622,623,625,626
31,1,256,256,627,628,630,631
31,2,512,256,632,633,635,636
31,3,768,256,637,638,640,641
32,0,0,256,642,643,645,646
32,1,256,256,647,648,650,651
32,2,512,256,652,653,655,656
32,3,768,256,657,658,660,661
33,0,0,256,662,663,665,666
33,1,256,256,667,668,670,671
33,2,512,256,672,673,675,676
33,3,768,256,677,678,680,681
34,0,0,256,682,683,685,686
34,1,256,256,687,688,690,691
34,2,512,256,692,693,695,696
34,3,768,256,697,698,700,701
35,0,0,256,702,703,705,706
35,1,256,256,707,708,710,711
35,2,512,256,712,713,715,716
35,3,768,256,717,718,720,721
36,0,0,256,722,723,725,726
36,1,256,256,727,728,730,731
36,2,512,256,732,733,735,736
36,3,768,256,737,738,740,741
37,0,0,256,742,743,745,746
37,1,256,256,747,748,750,751
37,2,512,256,752,753,755,756
37,3,768,256,757,758,760,761
38,0,0,256,762,763,765,766
38,1,256,256,767,768,770,771
38,2,512,256,772,773,775,776
38,3,768,256,777,778,780,781
39,0,0,256,782,783,785,786
39,1,256,256,787,788,790,791
39,2,512,256,792,793,795,796
39,3,768,256,797,798,800,801
40,0,0,256,802,803,805,806
40,1,256,256,807,808,810,811
40,2,512,256,812,813,815,816
40,3,768,256,817,818,820,821
41,0,0,256,822,823,825,826
41,1,256,256,827,828,830,831
41,2,512,256,832,833,835,836
41,3,768,256,837,838,840,841
42,0,0,256,842,843,845,846
42,1,256,256,847,848,850,851
42,2,512,256,852,853,855,856
42,3,768,256,857,858,860,861
43,0,0,256,862,863,865,866
43,1,256,256,867,868,870,871
43,2,512,256,872,873,875,876
43,3,768,256,877,878,880,881
44,0,0,256,882,883,885,886
44,1,256,256,887,888,890,891
44,2,512,256,892,893,895,896
44,3,768,256,897,898,900,901
45,0,0,256,902,903,905,906
45,1,256,256,907,908,910,911
45,2,512,256,912,913,915,916
45,3,768,256,917,918,920,921
46,0,0,256,922,923,925,926
46,1,256,256,927,928,930,931
46,2,512,256,932,933,935,936
46,3,768,256,937,938,940,941
47,0,0,256,942,943,945,946
47,1,256,256,947,948,950,951
47,2,512,256,952,953,955,956
47,3,768,256,957,958,960,961
48,0,0,256,962,963,965,966
48,1,256,256,967,968,970,971
48,2,512,256,972,973,975,976
48,3,768,256,977,978,980,981
49,0,0,256,982,983,985,986
49,1,256,256,987,988,990,991
49,2,512,256,992,993,995,996
49,3,768,256,997,998,1000,1001
50,0,0,256,1002,1003,1005,1006
50,1,256,256,1007,1008,1010,1011
