case,function,x,y,selected_mode,cycles,load_events,store_events,vector_events,scalar_events,sfu_events,average_active_slots,weighted_slot_utilization,no_functional_slot_cycle_fraction,unique_masks,mask_entropy_bits_per_cycle,field_entropy_fraction_of_raw,event_to_event_field_repeat_fraction,adjacent_cycle_field_repeat_fraction,structure_period,structure_period_coverage,structure_core_start,structure_core_end,structure_repetitions,period_aligned_affine_fit,period_aligned_affine_residual,average_payload_bits_per_cycle,peak_payload_bits_in_one_cycle,constant_or_affine_coverage,vertical_max_slot_height,six_slot_vertical_logical_ratio,six_slot_vertical_padded_total_ratio,li_byte_vertical_ratio,event_raw_ratio,event_raw_reduction_vs_padded_vertical,hybrid_ratio,hybrid_reduction_vs_padded_vertical,roundtrip_bit_exact
softmax_x32,softmax,32,512,2,515,64,64,256,64,96,1.056311,0.200971,0.376699,21,3.068076,0.512226,0.615322,0.631996,4,0.036893,290,309,4.750000,0.600000,0.400000,36.978641,138,0.318182,256,0.233580,0.530371,0.303978,0.226615,0.572725,0.137632,0.740499,True
softmax_x64,softmax,64,512,2,969,128,128,512,128,192,1.122807,0.213600,0.373581,27,3.144457,0.532791,0.615718,0.628642,4,0.019608,598,617,4.750000,0.600000,0.400000,39.302374,180,0.272727,512,0.246209,0.561347,0.317085,0.243724,0.565823,0.148287,0.735837,True
layernorm_x32,layernorm,32,768,0,771,102,96,672,256,64,1.543450,0.289630,0.071336,22,2.899446,0.597537,0.546234,0.572564,1,0.016861,9,22,13.000000,0.538462,0.461538,53.291829,180,0.241838,672,0.322238,0.904655,0.376001,0.326425,0.639172,0.235521,0.739656,True
layernorm_x64,layernorm,64,768,0,1450,198,192,1344,512,128,1.637241,0.307046,0.046897,23,2.810402,0.609258,0.521823,0.539222,1,0.008966,9,22,13.000000,0.538462,0.461538,56.496552,180,0.242277,1344,0.339655,0.959745,0.392796,0.345903,0.639588,0.245472,0.744232,True
gelu_x32,gelu,32,3072,2,1560,384,384,0,0,384,0.738462,0.153860,0.380769,7,2.303915,0.392782,0.625000,0.600000,48,0.629487,144,1126,20.458333,1.000000,0.000000,28.310256,84,1.000000,384,0.186469,0.278986,0.254766,0.158326,0.432493,0.007131,0.974438,True
gelu_x64,gelu,64,3072,2,3096,768,768,0,0,768,0.744186,0.155046,0.377907,7,2.307986,0.410173,0.625000,0.600000,48,0.813307,144,2662,52.458333,1.000000,0.000000,28.528424,84,1.000000,768,0.187654,0.280783,0.260266,0.158651,0.434968,0.004949,0.982376,True
logsoftmax_x32,logsoftmax,32,2048,1,1865,256,256,1024,448,288,1.218231,0.230621,0.264343,27,3.354500,0.569768,0.502727,0.497974,223,0.603753,393,1519,5.049327,1.000000,0.000000,42.434316,149,0.095745,1024,0.263230,0.581857,0.337659,0.254864,0.561982,0.155677,0.732449,True
logsoftmax_x64,logsoftmax,64,2048,1,3649,512,512,2048,896,576,1.245273,0.235735,0.249109,27,3.388973,0.586056,0.500849,0.493748,223,0.797479,393,3303,13.049327,1.000000,0.000000,43.375171,149,0.095745,2048,0.268343,0.593954,0.346168,0.259382,0.563296,0.156851,0.735921,True
softplus_x32,softplus,32,1024,2,1342,128,128,128,0,256,0.476900,0.093323,0.576006,10,2.021174,0.377778,0.662736,0.693559,209,0.541729,237,964,3.478469,1.000000,0.000000,17.171386,84,1.000000,256,0.125931,0.223628,0.213641,0.102601,0.541199,0.020152,0.909888,True
softplus_x64,softplus,64,1024,2,2684,256,256,256,0,512,0.476900,0.093315,0.577496,10,2.006923,0.388889,0.661311,0.696000,209,0.771237,237,2307,9.904306,1.000000,0.000000,17.169896,84,1.000000,512,0.125923,0.223498,0.214856,0.101333,0.546604,0.017084,0.923561,True
logsumexp_x32,logsumexp,32,1024,2,868,128,32,384,224,160,1.069124,0.198382,0.352535,23,3.176343,0.535195,0.593186,0.624767,72,0.442396,122,506,5.333333,1.000000,0.000000,36.502304,149,0.155844,384,0.230991,0.475406,0.308681,0.221292,0.534520,0.133666,0.718839,True
logsumexp_x64,logsumexp,64,1024,2,1644,256,64,768,448,320,1.128954,0.209471,0.301703,23,3.218963,0.553017,0.584619,0.623389,72,0.705596,122,1282,16.111111,1.000000,0.000000,38.542579,149,0.155844,768,0.242079,0.499974,0.320573,0.230370,0.539236,0.131344,0.737298,True
