case,mode,baseline_cycles,issue2_cycles,cycle_change,events,max_active_slots,lane_depths,lane_depth_imbalance,candidate_a_bits,candidate_a_ratio,issue2_vertical_bits,issue2_vertical_ratio,issue2_overhead_vs_a,issue2_horizontal_bits,issue2_horizontal_ratio,zero_fill_toggles,hold_payload_toggles,toggle_reduction,roundtrip_bit_exact
softmax_x32,1,515,528,0.025242718446601975,544,2,"[272, 272]",0,19883,0.2477447169059011,21392,0.2665470494417863,0.07589397978172308,38544,0.48026315789473684,9913,5955,0.3992736810249168,True
softmax_x64,1,969,996,0.02786377708978338,1088,2,"[544, 544]",0,39215,0.2590295392094695,42228,0.2789315155358275,0.07683284457478012,72708,0.48026315789473684,20591,12481,0.3938613957554271,True
layernorm_x32,0,771,812,0.05317769130998706,1190,2,"[595, 595]",0,42227,0.3421295696136894,44776,0.36278195488721804,0.060364221943306484,59276,0.48026315789473684,15819,11713,0.2595612870598647,True
layernorm_x64,0,1450,1516,0.04551724137931035,2374,2,"[1187, 1187]",0,83507,0.3623932439938897,88552,0.3842869045965838,0.060414097021806556,110668,0.48026315789473684,32989,24883,0.24571826972627242,True
gelu_x32,2,1560,1560,0.0,1152,2,"[576, 576]",0,39923,0.16836622807017543,47224,0.19915654520917678,0.18287703829872504,113880,0.48026315789473684,19189,6930,0.6388555943509302,True
gelu_x64,2,3096,3096,0.0,2304,2,"[1152, 1152]",0,79475,0.1688830239358085,94072,0.19990140078879368,0.18366782006920412,226008,0.48026315789473684,39323,13944,0.6453983673676983,True
logsoftmax_x32,2,1865,1936,0.03806970509383367,2272,2,"[1136, 1136]",0,80875,0.27483076881252716,87184,0.29627011744236625,0.07800927357032461,141328,0.48026315789473684,31501,16670,0.4708104504618901,True
logsoftmax_x64,2,3649,3739,0.02466429158673611,4544,2,"[2272, 2272]",0,160834,0.28299503103841445,173447,0.3051882011796005,0.07842247286021609,272947,0.48026315789473684,63047,33238,0.4728060018716196,True
softplus_x32,2,1342,1342,0.0,640,2,"[320, 320]",0,25905,0.12699525452976704,28726,0.14082477057024081,0.10889789615904255,97966,0.48026315789473684,10553,3892,0.6311949208755804,True
softplus_x64,2,2684,2684,0.0,1280,2,"[640, 640]",0,51559,0.1263800101968782,57196,0.140197270374147,0.1093310576233053,195932,0.48026315789473684,21553,7896,0.6336472880805457,True
logsumexp_x32,2,868,878,0.011520737327188835,928,2,"[464, 464]",0,33761,0.25297476321783957,36198,0.2712354633736962,0.07218388080921767,64094,0.48026315789473684,15533,8413,0.4583789351702826,True
logsumexp_x64,2,1644,1665,0.012773722627737127,1856,2,"[928, 928]",0,66816,0.2640113798008535,71685,0.28325035561877665,0.07287176724137923,121545,0.48026315789473684,31311,17181,0.45127910319057196,True
