t,half,imm,connect,dst,src1,src0,mask,optype
0,00,0,00,00000000,00000000,00000000,0,0000
1,00,0,00,00000000,00000000,00000000,0,0000
2,00,0,00,00000000,00000000,00000000,0,0000
3,00,0,01,00000000,00000000,00000000,0,1100
4,00,0,01,00000001,00000000,00000001,0,1100
5,00,0,01,00000010,00000000,00000010,0,1100
6,00,0,01,00000011,00000000,00000011,0,1100
7,00,0,01,00000100,00000000,00000100,0,1100
8,00,0,01,00000101,00000000,00000101,0,1100
9,00,0,01,00000110,00000000,00000110,0,1100
10,00,0,01,00000111,00000000,00000111,0,1100
11,00,0,01,00011111,00000000,00100000,0,1100
12,00,0,01,00100000,00000000,00100001,0,1100
13,00,0,00,00000000,00000000,00000000,0,0000
14,00,0,01,00100001,00000000,00100010,0,1100
15,00,0,00,00000000,00000000,00000000,0,0000
16,00,0,01,00100010,00000000,00100011,0,1100
17,00,0,01,00100100,00000000,00100101,0,1100
18,00,0,01,00100011,00000000,00100100,0,1100
19,00,0,01,00100101,00000000,00100110,0,1100
20,00,0,01,00100110,00000000,00100111,0,1100
21,00,0,01,00111110,00000000,01000000,0,1100
22,00,0,00,00000000,00000000,00000000,0,0000
23,00,0,00,00000000,00000000,00000000,0,0000
24,00,0,01,00111111,00000000,01000001,0,1100
25,00,0,01,01000000,00000000,01000010,0,1100
26,00,0,01,01000001,00000000,01000011,0,1100
27,00,0,00,00000000,00000000,00000000,0,0000
28,00,0,00,00000000,00000000,00000000,0,0000
29,00,0,01,01000010,00000000,01000100,0,1100
30,00,0,00,00000000,00000000,00000000,0,0000
31,00,0,01,01000011,00000000,01000101,0,1100
32,00,0,01,01000100,00000000,01000110,0,1100
33,00,0,01,01000101,00000000,01000111,0,1100
34,00,0,01,01011101,00000000,01100000,0,1100
35,00,0,00,00000000,00000000,00000000,0,0000
36,00,0,00,00000000,00000000,00000000,0,0000
37,00,0,00,00000000,00000000,00000000,0,0000
38,00,0,10,00001000,00001110,00000000,0,0011
39,00,0,10,00001010,00001110,00000001,0,0011
40,00,0,10,00001100,00001110,00000010,0,0011
41,00,0,10,00001110,00001110,00000011,0,0011
42,00,0,10,00010000,00001110,00000100,0,0011
43,00,0,10,00010010,00001110,00000101,0,0011
44,00,0,10,00010100,00001110,00000110,0,0011
45,00,0,10,00010110,00001110,00000111,0,0011
46,00,0,01,01011110,00000000,01100001,0,1100
47,00,0,01,01011111,00000000,01100010,0,1100
48,00,0,10,00101000,00101101,00100000,0,0011
49,00,0,10,00101010,00101101,00100001,0,0011
50,00,0,10,00101100,00101101,00100010,0,0011
51,00,0,10,00101110,00101101,00100011,0,0011
52,00,0,10,00110000,00101101,00100100,0,0011
53,10,0,10,00110010,00101101,00100101,0,0011
54,00,0,01,01100000,00000000,01100011,0,1100
55,00,0,01,01100001,00000000,01100100,0,1100
56,00,0,01,01100010,00000000,01100101,0,1100
57,10,0,10,00110100,00101101,00100110,0,0011
58,00,0,01,01100011,00000000,01100110,0,1100
59,00,0,01,01100100,00000000,01100111,0,1100
60,00,0,01,01111100,00000000,10000000,0,1100
61,10,0,10,00110110,00101101,00100111,0,0011
62,00,0,01,01111101,00000000,10000001,0,1100
63,00,0,00,00000000,00000000,00000000,0,0000
64,00,0,01,01111110,00000000,10000010,0,1100
65,00,0,01,01111111,00000000,10000011,0,1100
66,00,0,01,10000001,00000000,10000101,0,1100
67,00,0,01,10000000,00000000,10000100,0,1100
68,10,0,10,01001000,01001100,01000000,0,0011
69,00,0,00,00000000,00000000,00000000,0,0000
70,00,0,01,10000010,00000000,10000110,0,1100
71,00,0,01,10000011,00000000,10000111,0,1100
72,10,0,10,01001010,01001100,01000001,0,0011
73,00,0,01,10011011,00000000,10100000,0,1100
74,00,0,01,10011100,00000000,10100001,0,1100
75,00,0,01,00001111,00000000,00001001,0,1011
76,10,0,10,01001100,01001100,01000010,0,0011
77,00,0,01,10011101,00000000,10100010,0,1100
78,00,0,01,10011110,00000000,10100011,0,1100
79,00,0,01,10011111,00000000,10100100,0,1100
80,10,0,10,01001110,01001100,01000011,0,0011
81,00,0,01,00010000,00000000,00001011,0,1011
82,00,0,01,10100000,00000000,10100101,0,1100
