t,mem_fmt,mem_addr,gpr_fmt,gpr_addr,optype
0,00,00000000000000000000,00,00000000,11
1,00,00000000000000000001,00,00000100,11
2,00,00000000000000000010,00,00001000,11
3,00,00000000000000000011,00,00001100,11
4,00,00000000000000000100,00,00010000,11
5,00,00000000000000000101,00,00010100,11
6,00,00000000000000000110,00,00011000,11
7,00,00000000000000000111,00,00011100,11
8,00,00000000000000001000,00,00100000,11
9,00,00000000000000001001,00,00100100,11
10,00,00000000000000001010,00,00101000,11
11,00,00000000000000001011,00,00101100,11
12,00,00000000000000001100,00,00110000,11
13,00,00000000000000001101,00,00110100,11
14,00,00000000000000001110,00,00111000,11
15,00,00000000000000001111,00,00111100,11
16,00,00000000000000010000,00,01000000,11
17,00,00000000000000010001,00,01000100,11
18,00,00000000000000010010,00,01001000,11
19,00,00000000000000010011,00,01001100,11
20,00,00000000000000010100,00,01010000,11
21,00,00000000000000010101,00,01010100,11
22,00,00000000000000010110,00,01011000,11
23,00,00000000000000010111,00,01011100,11
24,00,00000000000000011000,00,01100000,11
25,00,00000000000000011001,00,01100100,11
26,00,00000000000000011010,00,01101000,11
27,00,00000000000000011011,00,01101100,11
28,00,00000000000000011100,00,01110000,11
29,00,00000000000000011101,00,01110100,11
30,00,00000000000000011110,00,01111000,11
31,00,00000000000000011111,00,01111100,11
32,00,00000000000000100000,00,10000000,11
33,00,00000000000000100001,00,10000100,11
34,00,00000000000000100010,00,10001000,11
35,00,00000000000000100011,00,10001100,11
36,00,00000000000000100100,00,10010000,11
37,00,00000000000000100101,00,10010100,11
38,00,00000000000000100110,00,10011000,11
39,00,00000000000000100111,00,10011100,11
40,00,00000000000000101000,00,10100000,11
41,00,00000000000000101001,00,10100100,11
42,00,00000000000000101010,00,10101000,11
43,00,00000000000000101011,00,10101100,11
44,00,00000000000000101100,00,10110000,11
45,00,00000000000000101101,00,10110100,11
46,00,00000000000000101110,00,10111000,11
47,00,00000000000000101111,00,10111100,11
48,00,00000000000000110000,00,11000000,11
49,00,00000000000000110001,00,11000100,11
50,00,00000000000000110010,00,11001000,11
51,00,00000000000000110011,00,11001100,11
52,00,00000000000000110100,00,11010000,11
53,00,00000000000000110101,00,11010100,11
54,00,00000000000000110110,00,11011000,11
55,00,00000000000000110111,00,11011100,11
56,00,00000000000000111000,00,11100000,11
57,00,00000000000000111001,00,11100100,11
58,00,00000000000000111010,00,11101000,11
59,00,00000000000000111011,00,11101100,11
60,00,00000000000000111100,00,11110000,11
61,00,00000000000000111101,00,11110100,11
62,00,00000000000000111110,00,11111000,11
63,00,00000000000000111111,00,11111100,11
64,00,00000000000000000000,00,00000000,00
65,00,00000000000000000000,00,00000000,00
66,00,00000000000000000000,00,00000000,00
67,00,00000000000000000000,00,00000000,00
68,00,00000000000000000000,00,00000000,00
69,00,00000000000000000000,00,00000000,00
70,00,00000000000000000000,00,00000000,00
71,00,00000000000000000000,00,00000000,00
72,00,00000000000000000000,00,00000000,00
73,00,00000000000000000000,00,00000000,00
74,00,00000000000000000000,00,00000000,00
75,00,00000000000000000000,00,00000000,00
76,00,00000000000000000000,00,00000000,00
77,00,00000000000000000000,00,00000000,00
78,00,00000000000000000000,00,00000000,00
79,00,00000000000000000000,00,00000000,00
80,00,00000000000000000000,00,00000000,00
81,00,00000000000000000000,00,00000000,00
82,00,00000000000000000000,00,00000000,00
83,00,00000000000000000000,00,00000000,00
84,00,00000000000000000000,00,00000000,00
85,00,00000000000000000000,00,00000000,00
86,00,00000000000000000000,00,00000000,00
87,00,00000000000000000000,00,00000000,00
88,00,00000000000000000000,00,00000000,00
89,00,00000000000000000000,00,00000000,00
90,00,00000000000000000000,00,00000000,00
91,00,00000000000000000000,00,00000000,00
92,00,00000000000000000000,00,00000000,00
93,00,00000000000000000000,00,00000000,00
94,00,00000000000000000000,00,00000000,00
95,00,00000000000000000000,00,00000000,00
96,00,00000000000000000000,00,00000000,00
97,00,00000000000000000000,00,00000000,00
98,00,00000000000000000000,00,00000000,00
99,00,00000000000000000000,00,00000000,00
100,00,00000000000000000000,00,00000000,00
101,00,00000000000000000000,00,00000000,00
102,00,00000000000000000000,00,00000000,00
103,00,00000000000000000000,00,00000000,00
104,00,00000000000000000000,00,00000000,00
105,00,00000000000000000000,00,00000000,00
106,00,00000000000000000000,00,00000000,00
107,00,00000000000000000000,00,00000000,00
108,00,00000000000000000000,00,00000000,00
109,00,00000000000000000000,00,00000000,00
110,00,00000000000000000000,00,00000000,00
111,00,00000000000000000000,00,00000000,00
112,00,00000000000000000000,00,00000000,00
113,00,00000000000000000000,00,00000000,00
114,00,00000000000000000000,00,00000000,00
115,00,00000000000000000000,00,00000000,00
116,00,00000000000000000000,00,00000000,00
117,00,00000000000000000000,00,00000000,00
118,00,00000000000000000000,00,00000000,00
119,00,00000000000000000000,00,00000000,00
120,00,00000000000000000000,00,00000000,00
121,00,00000000000000000000,00,00000000,00
122,00,00000000000000000000,00,00000000,00
123,00,00000000000000000000,00,00000000,00
124,00,00000000000000000000,00,00000000,00
125,00,00000000000000000000,00,00000000,00
126,00,00000000000000000000,00,00000000,00
127,00,00000000000000000000,00,00000000,00
128,00,00000000000000000000,00,00000000,00
129,00,00000000000000000000,00,00000000,00
130,00,00000000000000000000,00,00000000,00
131,00,00000000000000000000,00,00000000,00
132,00,00000000000000000000,00,00000000,00
133,00,00000000000000000000,00,00000000,00
134,00,00000000000000000000,00,00000000,00
135,00,00000000000000000000,00,00000000,00
136,00,00000000000000000000,00,00000000,00
137,00,00000000000000000000,00,00000000,00
138,00,00000000000000000000,00,00000000,00
139,00,00000000000000000000,00,00000000,00
140,00,00000000000000000000,00,00000000,00
141,00,00000000000000000000,00,00000000,00
142,00,00000000000000000000,00,00000000,00
143,00,00000000000000000000,00,00000000,00
144,00,00000000000000000000,00,00000000,00
145,00,00000000000000000000,00,00000000,00
146,00,00000000000000000000,00,00000000,00
147,00,00000000000000000000,00,00000000,00
148,00,00000000000000000000,00,00000000,00
149,00,00000000000000000000,00,00000000,00
150,00,00000000000000000000,00,00000000,00
151,00,00000000000000000000,00,00000000,00
152,00,00000000000000000000,00,00000000,00
153,00,00000000000000000000,00,00000000,00
154,00,00000000000000000000,00,00000000,00
155,00,00000000000000000000,00,00000000,00
156,00,00000000000000000000,00,00000000,00
157,00,00000000000000000000,00,00000000,00
158,00,00000000000000000000,00,00000000,00
159,00,00000000000000000000,00,00000000,00
160,00,00000000000000000000,00,00000000,00
161,00,00000000000000000000,00,00000000,00
162,00,00000000000000000000,00,00000000,00
163,00,00000000000000000000,00,00000000,00
164,00,00000000000000000000,00,00000000,00
165,00,00000000000000000000,00,00000000,00
166,00,00000000000000000000,00,00000000,00
167,00,00000000000000000000,00,00000000,00
168,00,00000000000000000000,00,00000000,00
169,00,00000000000000000000,00,00000000,00
170,00,00000000000000000000,00,00000000,00
171,00,00000000000000000000,00,00000000,00
172,00,00000000000000000000,00,00000000,00
173,00,00000000000000000000,00,00000000,00
174,00,00000000000000000000,00,00000000,00
175,00,00000000000000000000,00,00000000,00
176,00,00000000000000000000,00,00000000,00
177,00,00000000000000000000,00,00000000,00
178,00,00000000000000000000,00,00000000,00
179,00,00000000000000000000,00,00000000,00
180,00,00000000000000000000,00,00000000,00
181,00,00000000000000000000,00,00000000,00
182,00,00000000000000000000,00,00000000,00
183,00,00000000000000000000,00,00000000,00
184,00,00000000000000000000,00,00000000,00
185,00,00000000000000000000,00,00000000,00
186,00,00000000000000000000,00,00000000,00
187,00,00000000000000000000,00,00000000,00
188,00,00000000000000000000,00,00000000,00
189,00,00000000000000000000,00,00000000,00
190,00,00000000000000000000,00,00000000,00
191,00,00000000000000000000,00,00000000,00
192,00,00000000000000000000,00,00000000,00
193,00,00000000000000000000,00,00000000,00
194,00,00000000000000000000,00,00000000,00
195,00,00000000000000000000,00,00000000,00
196,00,00000000000000000000,00,00000000,00
197,00,00000000000000000000,00,00000000,00
198,00,00000000000000000000,00,00000000,00
199,00,00000000000000000000,00,00000000,00
200,00,00000000000000000000,00,00000000,00
201,00,00000000000000000000,00,00000000,00
202,00,00000000000000000000,00,00000000,00
203,00,00000000000000000000,00,00000000,00
204,00,00000000000000000000,00,00000000,00
205,00,00000000000000000000,00,00000000,00
206,00,00000000000000000000,00,00000000,00
207,00,00000000000000000000,00,00000000,00
208,00,00000000000000000000,00,00000000,00
209,00,00000000000000000000,00,00000000,00
210,00,00000000000000000000,00,00000000,00
211,00,00000000000000000000,00,00000000,00
212,00,00000000000000000000,00,00000000,00
213,00,00000000000000000000,00,00000000,00
214,00,00000000000000000000,00,00000000,00
215,00,00000000000000000000,00,00000000,00
216,00,00000000000000000000,00,00000000,00
217,00,00000000000000000000,00,00000000,00
218,00,00000000000000000000,00,00000000,00
219,00,00000000000000000000,00,00000000,00
220,00,00000000000000000000,00,00000000,00
221,00,00000000000000000000,00,00000000,00
222,00,00000000000000000000,00,00000000,00
223,00,00000000000000000000,00,00000000,00
224,00,00000000000000000000,00,00000000,00
225,00,00000000000000000000,00,00000000,00
226,00,00000000000000000000,00,00000000,00
227,00,00000000000000000000,00,00000000,00
228,00,00000000000000000000,00,00000000,00
229,00,00000000000000000000,00,00000000,00
230,00,00000000000000000000,00,00000000,00
231,00,00000000000000000000,00,00000000,00
232,00,00000000000000000000,00,00000000,00
233,00,00000000000000000000,00,00000000,00
234,00,00000000000000000000,00,00000000,00
235,00,00000000000000000000,00,00000000,00
236,00,00000000000000000000,00,00000000,00
237,00,00000000000000000000,00,00000000,00
238,00,00000000000000000000,00,00000000,00
239,00,00000000000000000000,00,00000000,00
240,00,00000000000000000000,00,00000000,00
241,00,00000000000000000000,00,00000000,00
242,00,00000000000000000000,00,00000000,00
243,00,00000000000000000000,00,00000000,00
244,00,00000000000000000000,00,00000000,00
245,00,00000000000000000000,00,00000000,00
246,00,00000000000000000000,00,00000000,00
247,00,00000000000000000000,00,00000000,00
248,00,00000000000000000000,00,00000000,00
249,00,00000000000000000000,00,00000000,00
250,00,00000000000000000000,00,00000000,00
251,00,00000000000000000000,00,00000000,00
252,00,00000000000000000000,00,00000000,00
253,00,00000000000000000000,00,00000000,00
254,00,00000000000000000000,00,00000000,00
255,00,00000000000000000000,00,00000000,00
256,00,00000000000000000000,00,00000000,00
257,00,00000000000000000000,00,00000000,00
258,00,00000000000000000000,00,00000000,00
259,00,00000000000000000000,00,00000000,00
260,00,00000000000000000000,00,00000000,00
261,00,00000000000000000000,00,00000000,00
262,00,00000000000000000000,00,00000000,00
263,00,00000000000000000000,00,00000000,00
264,00,00000000000000000000,00,00000000,00
265,00,00000000000000000000,00,00000000,00
266,00,00000000000000000000,00,00000000,00
267,00,00000000000000000000,00,00000000,00
268,00,00000000000000000000,00,00000000,00
269,00,00000000000000000000,00,00000000,00
270,00,00000000000000000000,00,00000000,00
271,00,00000000000000000000,00,00000000,00
272,00,00000000000000000000,00,00000000,00
273,00,00000000000000000000,00,00000000,00
274,00,00000000000000000000,00,00000000,00
275,00,00000000000000000000,00,00000000,00
276,00,00000000000000000000,00,00000000,00
277,00,00000000000000000000,00,00000000,00
278,00,00000000000000000000,00,00000000,00
279,00,00000000000000000000,00,00000000,00
280,00,00000000000000000000,00,00000000,00
281,00,00000000000000000000,00,00000000,00
282,00,00000000000000000000,00,00000000,00
283,00,00000000000000000000,00,00000000,00
284,00,00000000000000000000,00,00000000,00
285,00,00000000000000000000,00,00000000,00
286,00,00000000000000000000,00,00000000,00
287,00,00000000000000000000,00,00000000,00
288,00,00000000000000000000,00,00000000,00
289,00,00000000000000000000,00,00000000,00
290,00,00000000000000000000,00,00000000,00
291,00,00000000000000000000,00,00000000,00
292,00,00000000000000000000,00,00000000,00
293,00,00000000000000000000,00,00000000,00
294,00,00000000000000000000,00,00000000,00
295,00,00000000000000000000,00,00000000,00
296,00,00000000000000000000,00,00000000,00
297,00,00000000000000000000,00,00000000,00
298,00,00000000000000000000,00,00000000,00
299,00,00000000000000000000,00,00000000,00
300,00,00000000000000000000,00,00000000,00
301,00,00000000000000000000,00,00000000,00
302,00,00000000000000000000,00,00000000,00
303,00,00000000000000000000,00,00000000,00
304,00,00000000000000000000,00,00000000,00
305,00,00000000000000000000,00,00000000,00
306,00,00000000000000000000,00,00000000,00
307,00,00000000000000000000,00,00000000,00
308,00,00000000000000000000,00,00000000,00
309,00,00000000000000000000,00,00000000,00
310,00,00000000000000000000,00,00000000,00
311,00,00000000000000000000,00,00000000,00
312,00,00000000000000000000,00,00000000,00
313,00,00000000000000000000,00,00000000,00
314,00,00000000000000000000,00,00000000,00
315,00,00000000000000000000,00,00000000,00
