issue_width,priority_strategy,best_mode_total_cycles,overhead_vs_per_case_oracle
2,critical_age,21589,0.05999901801934504
2,critical_fanout,21658,0.06338685127902988
2,critical_path,21659,0.06343595031177895
2,index,20752,0.018903127608386194
2,latency,20709,0.016791869200176723
2,pair_critical,21664,0.06368144547552412
2,pair_window16,20625,0.01266755044925616
2,pair_window8,20568,0.00986890558256004
2,shortest_latency,21080,0.035007610350076046
2,window16_critical,20992,0.03068689546815917
2,window16_latency,20635,0.013158540776746719
2,window8_critical,20988,0.03049049933716308
2,window8_latency,20504,0.006726567486620594
5,critical_age,21069,0.05545536519386829
5,critical_fanout,21097,0.056858030257489256
5,critical_path,21097,0.056858030257489256
5,index,20413,0.022592926560464965
5,latency,20607,0.03231139164412378
5,pair_window16,20409,0.022392545837090383
5,pair_window8,20409,0.022392545837090383
5,shortest_latency,20263,0.015078649433924562
5,window16_critical,20558,0.02985672778278725
5,window16_latency,20450,0.024446448251678188
5,window8_critical,20549,0.029405871155194774
5,window8_latency,20421,0.022993688007213686
