case,optimized_issue5_mode,optimized_issue5_priority_strategy,optimized_issue5_cycles,mode,priority_strategy,issue2_cycles,cycle_change_vs_optimized_issue5,events,lane_depths,candidate_a_equal34_bits,issue2_vertical_bits,issue2_overhead_vs_a,roundtrip_bit_exact
gelu_x32,2,index,1560,2,index,1560,0.0,1152,"[576, 576]",47219,47224,0.00010588957834767321,True
gelu_x64,2,index,3096,2,index,3096,0.0,2304,"[1152, 1152]",94067,94072,5.315360328284058e-05,True
layernorm_x32,0,latency,737,0,window8_latency,751,0.01899592944369055,1190,"[595, 595]",44396,44471,0.001689341382106413,True
layernorm_x64,0,window8_latency,1424,0,window8_latency,1440,0.011235955056179803,2374,"[1187, 1187]",88087,88172,0.0009649551012067548,True
logsoftmax_x32,2,shortest_latency,1805,1,latency,1889,0.04653739612188357,2272,"[1136, 1136]",86524,86949,0.004911931949517001,True
logsoftmax_x64,2,shortest_latency,3493,1,pair_window8,3688,0.05582593758946475,4544,"[2272, 2272]",172212,173192,0.005690660348872223,True
logsumexp_x32,2,window16_critical,839,2,latency,868,0.03456495828367112,928,"[464, 464]",35998,36148,0.004166898161009014,True
logsumexp_x64,2,window16_critical,1551,2,window16_critical,1604,0.0341715022566087,1856,"[928, 928]",71110,71380,0.003796934327098933,True
softmax_x32,1,window16_critical,495,2,critical_path,506,0.022222222222222143,544,"[272, 272]",21222,21282,0.0028272547356515965,True
softmax_x64,1,critical_path,936,1,critical_age,939,0.0032051282051281937,1088,"[544, 544]",41923,41943,0.00047706509553235854,True
softplus_x32,2,index,1342,2,index,1342,0.0,640,"[320, 320]",28721,28726,0.00017408864593848605,True
softplus_x64,2,index,2684,2,index,2684,0.0,1280,"[640, 640]",57191,57196,8.742634330571875e-05,True
