case,issue5_cycles,issue2_total_rows_T,event_count_N,ideal_bits_5T_plus_34N,extra_bits_from_issue2_cycles_vs_issue5,double_event_cycles,single_event_cycles,empty_execution_cycles,current_balanced_lane_depths,counterfactual_unbalanced_depths,balanced_allocated_depths_pow2,unbalanced_allocated_depths_pow2
gelu_x32,1560,1560,1152,46968,0,186,780,593,"[576, 576]","[966, 186]","[1024, 1024]","[1024, 256]"
gelu_x64,3096,3096,2304,93816,0,378,1548,1169,"[1152, 1152]","[1926, 378]","[2048, 2048]","[2048, 512]"
layernorm_x32,737,751,1190,44215,70,463,264,23,"[595, 595]","[727, 463]","[1024, 1024]","[1024, 512]"
layernorm_x64,1424,1440,2374,87916,80,962,450,27,"[1187, 1187]","[1412, 962]","[2048, 2048]","[2048, 1024]"
logsoftmax_x32,1805,1889,2272,86693,420,773,726,389,"[1136, 1136]","[1499, 773]","[2048, 2048]","[2048, 1024]"
logsoftmax_x64,3493,3688,4544,172936,975,1655,1234,798,"[2272, 2272]","[2889, 1655]","[4096, 4096]","[4096, 2048]"
logsumexp_x32,839,868,928,35892,145,326,276,265,"[464, 464]","[602, 326]","[512, 512]","[1024, 512]"
logsumexp_x64,1551,1604,1856,71124,265,650,556,397,"[928, 928]","[1206, 650]","[1024, 1024]","[2048, 1024]"
softmax_x32,495,506,544,21026,55,218,108,179,"[272, 272]","[326, 218]","[512, 512]","[512, 256]"
softmax_x64,936,939,1088,41687,15,400,288,250,"[544, 544]","[688, 400]","[1024, 1024]","[1024, 512]"
softplus_x32,1342,1342,640,28470,0,71,498,772,"[320, 320]","[569, 71]","[512, 512]","[1024, 128]"
softplus_x64,2684,2684,1280,56940,0,146,988,1549,"[640, 640]","[1134, 146]","[1024, 1024]","[2048, 256]"
