case,mode,priority_strategy,baseline_cycles,issue2_cycles,cycle_change,events,lane_depths,lane_depth_imbalance,candidate_a_equal34_bits,candidate_a_equal34_ratio,issue2_vertical_bits,issue2_vertical_ratio,issue2_overhead_vs_a,toggle_reduction,roundtrip_bit_exact
softmax_x32,2,critical_path,515,506,-0.01747572815533982,544,"[272, 272]",0,21277,0.24166325927945118,21282,0.2417200490663759,0.0002349955350848809,0.3541185527328714,True
softmax_x64,1,critical_age,969,939,-0.03095975232198145,1088,"[544, 544]",0,41938,0.25668049894115774,41943,0.2567111013183504,0.000119223615813846,0.36179312529700614,True
layernorm_x32,0,index,771,812,0.05317769130998706,1190,"[595, 595]",0,44771,0.3168775833757998,44776,0.3169129720853859,0.00011167943534884373,0.2595612870598647,True
layernorm_x64,0,index,1450,1516,0.04551724137931035,2374,"[1187, 1187]",0,88547,0.3356799502623358,88552,0.3356989051648318,5.646718691765251e-05,0.24571826972627242,True
gelu_x32,2,index,1560,1560,0.0,1152,"[576, 576]",0,47219,0.17395741231948128,47224,0.17397583259652225,0.00010588957834767321,0.6388555943509302,True
gelu_x64,2,index,3096,3096,0.0,2304,"[1152, 1152]",0,94067,0.17461722949894562,94072,0.17462651103388874,5.315360328284058e-05,0.6453983673676983,True
logsoftmax_x32,1,latency,1865,1889,0.012868632707774719,2272,"[1136, 1136]",0,86944,0.2645199369611118,86949,0.2645351490480276,5.750828119244211e-05,0.4223375398042222,True
logsoftmax_x64,2,latency,3649,3699,0.01370238421485337,4544,"[2272, 2272]",0,173242,0.26916563345793987,173247,0.2691734019446076,2.8861361563548016e-05,0.4689868173258004,True
softplus_x32,2,index,1342,1342,0.0,640,"[320, 320]",0,28721,0.12299792726587526,28726,0.12301933980848621,0.00017408864593848605,0.6311949208755804,True
softplus_x64,2,index,2684,2684,0.0,1280,"[640, 640]",0,57191,0.12246047244634017,57196,0.12247117871764565,8.742634330571875e-05,0.6336472880805457,True
logsumexp_x32,2,latency,868,868,0.0,928,"[464, 464]",0,36143,0.23930690184861486,36148,0.239340007415647,0.00013833937415275166,0.460082044809088,True
logsumexp_x64,2,latency,1644,1644,0.0,1856,"[928, 928]",0,71575,0.250213244959029,71580,0.2502307240540314,6.985679357307539e-05,0.4505838263078019,True
