Symbolic time: 0.671	0.585	0.084 ms
Numeric time: 0.455	0.458	0 ms
Symbolic time: 0.541	0.54	0 ms
Numeric time: 0.417	0.418	0 ms
Symbolic time: 0.551	0.552	0 ms
Numeric time: 0.41	0.41	0 ms
Symbolic time: 0.558	0.557	0 ms
Numeric time: 0.41	0.41	0 ms
Symbolic time: 0.555	0.555	0 ms
Numeric time: 0.406	0.407	0 ms
Symbolic time: 0.554	0.555	0 ms
Numeric time: 0.41	0.409	0 ms
Symbolic time: 0.553	0.553	0 ms
Numeric time: 0.402	0.402	0 ms
Symbolic time: 0.457	0.457	0 ms
Numeric time: 0.274	0.274	0 ms
Symbolic time: 0.371	0.371	0 ms
Numeric time: 0.284	0.285	0 ms
Symbolic time: 0.366	0.366	0 ms
Numeric time: 0.281	0.281	0 ms
Symbolic time: 0.377	0.377	0 ms
Numeric time: 0.274	0.274	0 ms
Symbolic time: 0.37	0.371	0 ms
Numeric time: 0.283	0.284	0 ms
Symbolic time: 0.363	0.363	0 ms
Numeric time: 0.28	0.28	0 ms
Symbolic time: 0.373	0.374	0 ms
Numeric time: 0.275	0.275	0 ms
Symbolic time: 0.371	0.371	0 ms
Numeric time: 0.283	0.284	0 ms
Symbolic time: 0.368	0.368	0 ms
Numeric time: 0.274	0.274	0 ms
Symbolic time: 0.375	0.375	0 ms
Numeric time: 0.28	0.281	0 ms
Symbolic time: 0.364	0.364	0 ms
Numeric time: 0.285	0.285	0 ms
Symbolic time: 0.369	0.368	0 ms
Numeric time: 0.271	0.271	0 ms
Symbolic time: 0.372	0.372	0 ms
Numeric time: 0.278	0.278	0 ms
Symbolic time: 0.365	0.364	0 ms
Numeric time: 0.284	0.283	0 ms
Symbolic time: 0.343	0.342	0 ms
Numeric time: 0.215	0.214	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.219	0.218	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.215	0.216	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.221	0.221	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.286	0.287	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.284	0.285	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.287	0.286	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.282	0.281	0 ms
