Symbolic time: 0.285	0.2	0.081 ms
Numeric time: 0.229	0.166	0.067 ms
Symbolic time: 0.224	0.159	0.064 ms
Numeric time: 0.169	0.169	0 ms
Symbolic time: 0.246	0.246	0 ms
Numeric time: 0.159	0.159	0 ms
Symbolic time: 0.222	0.223	0 ms
Numeric time: 0.172	0.172	0 ms
Symbolic time: 0.212	0.212	0 ms
Numeric time: 0.152	0.152	0 ms
Symbolic time: 0.231	0.231	0 ms
Numeric time: 0.164	0.164	0 ms
Symbolic time: 0.215	0	0.215 ms
Numeric time: 0.151	0	0.151 ms
Symbolic time: 0.202	0	0.202 ms
Numeric time: 0.129	0	0.13 ms
Symbolic time: 0.181	0	0.181 ms
Numeric time: 0.134	0.135	0 ms
Symbolic time: 0.18	0.18	0 ms
Numeric time: 0.128	0.129	0 ms
Symbolic time: 0.176	0.175	0 ms
Numeric time: 0.13	0.129	0 ms
Symbolic time: 0.192	0.192	0 ms
Numeric time: 0.128	0.128	0 ms
Symbolic time: 0.18	0.18	0 ms
Numeric time: 0.127	0.126	0 ms
Symbolic time: 0.18	0.18	0 ms
Numeric time: 0.126	0.126	0 ms
Symbolic time: 0.185	0.185	0 ms
Numeric time: 0.127	0.127	0 ms
Symbolic time: 0.175	0.176	0 ms
Numeric time: 0.127	0.128	0 ms
Symbolic time: 0.179	0.18	0 ms
Numeric time: 0.124	0.125	0 ms
Symbolic time: 0.193	0.192	0 ms
Numeric time: 0.125	0.125	0 ms
Symbolic time: 0.178	0.178	0 ms
Numeric time: 0.127	0.128	0 ms
Symbolic time: 0.175	0.174	0 ms
Numeric time: 0.126	0.126	0 ms
Symbolic time: 0.185	0.185	0 ms
Numeric time: 0.125	0.125	0 ms
Symbolic time: 0.179	0.178	0 ms
Numeric time: 0.126	0.126	0 ms
Symbolic time: 0.176	0.175	0 ms
Numeric time: 0.127	0.128	0 ms
Symbolic time: 0.175	0.176	0 ms
Numeric time: 0.128	0.127	0 ms
Symbolic time: 0.176	0.176	0 ms
Numeric time: 0.127	0.127	0 ms
Symbolic time: 0.176	0.177	0 ms
Numeric time: 0.134	0.134	0 ms
Symbolic time: 0.177	0.176	0 ms
Numeric time: 0.127	0.126	0 ms
Symbolic time: 0.175	0.174	0 ms
Numeric time: 0.129	0.13	0 ms
Symbolic time: 0.176	0.176	0 ms
Numeric time: 0.136	0.135	0 ms
Symbolic time: 0.178	0.177	0 ms
Numeric time: 0.125	0.126	0 ms
Symbolic time: 0.174	0.174	0 ms
Numeric time: 0.126	0.126	0 ms
Symbolic time: 0.176	0.175	0 ms
Numeric time: 0.15	0.151	0 ms
Symbolic time: 0.242	0.241	0 ms
Numeric time: 0.176	0.177	0 ms
Symbolic time: 0.23	0.23	0 ms
Numeric time: 0.143	0.144	0 ms
Symbolic time: 0.186	0.186	0 ms
Numeric time: 0.13	0.131	0 ms
Symbolic time: 0.152	0.152	0 ms
Numeric time: 0.085	0.085	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.124	0.124	0 ms
Numeric time: 0.085	0.085	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.084	0.085	0 ms
Symbolic time: 0.118	0.117	0 ms
Numeric time: 0.085	0.085	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.119	0.12	0 ms
Numeric time: 0.087	0.087	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.116	0.116	0 ms
Numeric time: 0.084	0.085	0 ms
Symbolic time: 0.115	0.115	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.123	0.122	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.083	0.082	0 ms
Symbolic time: 0.122	0.122	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.116	0.116	0 ms
Numeric time: 0.083	0.082	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.088	0.089	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.082	0.083	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.115	0.116	0 ms
Numeric time: 0.084	0.083	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.124	0.124	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.117	0.118	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.083	0.084	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.087	0.088	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.085	0.085	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.083	0.084	0 ms
Symbolic time: 0.119	0.118	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.122	0.122	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.085	0.084	0 ms
Symbolic time: 0.116	0.116	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.124	0.124	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.083	0.084	0 ms
Symbolic time: 0.117	0.117	0 ms
Numeric time: 0.084	0.085	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.119	0.119	0 ms
Numeric time: 0.088	0.088	0 ms
Symbolic time: 0.118	0.118	0 ms
Numeric time: 0.083	0.083	0 ms
Symbolic time: 0.116	0.116	0 ms
Numeric time: 0.084	0.084	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.081	0.081	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.081	0.081	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.083	0.083	0 ms
Numeric time: 0.058	0.058	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.063	0.063	0 ms
Symbolic time: 0.079	0.079	0 ms
Numeric time: 0.056	0.056	0 ms
Symbolic time: 0.08	0.08	0 ms
