Symbolic time: 1.323	1.289	0.032 ms
Numeric time: 1.205	0	1.207 ms
Symbolic time: 1.124	0.578	0.546 ms
Numeric time: 1.056	1.047	0.009 ms
Symbolic time: 1.109	1.094	0.015 ms
Numeric time: 1.04	1.036	0.006 ms
Symbolic time: 1.111	1.097	0.014 ms
Numeric time: 1.045	0.194	0.849 ms
Symbolic time: 1.099	1.083	0.016 ms
Numeric time: 1.036	1.03	0.006 ms
Symbolic time: 1.102	1.087	0.015 ms
Numeric time: 1.038	1.032	0.006 ms
Symbolic time: 1.101	1.087	0.014 ms
Numeric time: 1.034	1.03	0.004 ms
Symbolic time: 1.097	1.085	0.012 ms
Numeric time: 1.034	1.03	0.004 ms
Symbolic time: 1.105	1.106	0 ms
Numeric time: 1.041	1.042	0 ms
Symbolic time: 1.098	1.098	0 ms
Numeric time: 1.04	1.04	0 ms
Symbolic time: 1.1	1.099	0 ms
Numeric time: 1.044	1.044	0 ms
Symbolic time: 1.107	1.106	0 ms
Numeric time: 1.035	1.036	0 ms
Symbolic time: 1.101	1.101	0 ms
Numeric time: 1.04	1.039	0 ms
Symbolic time: 1.099	1.099	0 ms
Numeric time: 1.038	0.101	0.937 ms
Symbolic time: 1.101	1.089	0.012 ms
Numeric time: 1.038	1.033	0.005 ms
Symbolic time: 1.11	1.098	0.012 ms
Numeric time: 1.053	1.048	0.006 ms
Symbolic time: 1.108	0.29	0.819 ms
Numeric time: 1.041	1.034	0.006 ms
Symbolic time: 1.109	1.096	0.013 ms
Numeric time: 1.04	1.035	0.005 ms
Symbolic time: 1.102	1.09	0.012 ms
Numeric time: 1.037	1.033	0.005 ms
Symbolic time: 1.1	1.09	0.011 ms
Numeric time: 1.043	1.039	0.005 ms
Symbolic time: 1.105	1.105	0 ms
Numeric time: 1.037	0.132	0.905 ms
Symbolic time: 1.103	1.09	0.013 ms
Numeric time: 1.047	1.041	0.006 ms
Symbolic time: 1.097	1.087	0.012 ms
Numeric time: 1.041	1.037	0.005 ms
Symbolic time: 1.104	1.092	0.012 ms
Numeric time: 1.054	1.048	0.006 ms
Symbolic time: 1.113	1.114	0 ms
Numeric time: 1.046	0.139	0.907 ms
Symbolic time: 1.097	1.086	0.012 ms
Numeric time: 1.04	1.035	0.005 ms
Symbolic time: 1.096	1.085	0.011 ms
Numeric time: 1.041	1.037	0.005 ms
Symbolic time: 1.105	1.094	0.011 ms
Numeric time: 1.042	1.038	0.005 ms
Symbolic time: 1.104	1.104	0 ms
Numeric time: 1.056	1.056	0 ms
Symbolic time: 1.106	1.106	0 ms
Numeric time: 1.045	1.045	0 ms
Symbolic time: 1.098	1.098	0 ms
Numeric time: 1.041	1.042	0 ms
Symbolic time: 1.109	1.11	0 ms
Numeric time: 1.035	1.036	0 ms
Symbolic time: 1.101	1.1	0 ms
Numeric time: 1.038	1.038	0 ms
Symbolic time: 1.103	1.104	0 ms
Numeric time: 1.039	1.04	0 ms
Symbolic time: 1.106	1.106	0 ms
Numeric time: 1.045	1.046	0 ms
Symbolic time: 1.11	1.11	0 ms
Numeric time: 1.042	1.041	0 ms
Symbolic time: 1.101	1.101	0 ms
Numeric time: 1.039	1.039	0 ms
Symbolic time: 1.096	1.096	0 ms
Numeric time: 1.058	1.058	0 ms
Symbolic time: 1.106	1.106	0 ms
Numeric time: 1.042	1.042	0 ms
Symbolic time: 1.102	1.102	0 ms
Numeric time: 1.036	1.036	0 ms
Symbolic time: 1.097	1.096	0.003 ms
Numeric time: 1.049	1.05	0 ms
Symbolic time: 1.102	1.102	0 ms
Numeric time: 1.051	0.111	0.94 ms
Symbolic time: 1.099	1.09	0.009 ms
Numeric time: 1.043	1.039	0.004 ms
Symbolic time: 1.101	1.093	0.009 ms
Numeric time: 1.043	1.039	0.004 ms
Symbolic time: 1.099	1.091	0.009 ms
Numeric time: 1.058	0.157	0.898 ms
Symbolic time: 1.098	1.089	0.009 ms
Numeric time: 1.037	1.033	0.004 ms
Symbolic time: 1.099	1.089	0.009 ms
Numeric time: 1.041	1.038	0.003 ms
Symbolic time: 1.099	1.09	0.009 ms
Numeric time: 1.041	1.037	0.004 ms
Symbolic time: 1.1	1.091	0.009 ms
Numeric time: 1.043	1.043	0 ms
Symbolic time: 1.102	1.103	0 ms
Numeric time: 1.046	1.046	0 ms
Symbolic time: 1.102	1.102	0 ms
Numeric time: 1.047	1.047	0 ms
Symbolic time: 1.11	1.111	0 ms
Numeric time: 1.046	0.065	0.982 ms
Symbolic time: 1.098	1.091	0.009 ms
Numeric time: 1.037	1.033	0.003 ms
Symbolic time: 1.107	0.27	0.837 ms
Numeric time: 1.056	1.051	0.005 ms
Symbolic time: 1.105	1.095	0.01 ms
Numeric time: 1.042	1.039	0.004 ms
Symbolic time: 1.112	1.102	0.011 ms
Numeric time: 1.045	1.042	0.005 ms
Symbolic time: 1.11	1.1	0.01 ms
Numeric time: 1.044	1.045	0 ms
Symbolic time: 1.101	1.101	0 ms
Numeric time: 1.037	1.039	0 ms
Symbolic time: 1.1	1.1	0 ms
Numeric time: 1.046	1.046	0 ms
Symbolic time: 1.103	1.104	0 ms
Numeric time: 1.049	1.049	0 ms
Symbolic time: 1.099	1.099	0 ms
Numeric time: 1.036	1.036	0.001 ms
Symbolic time: 1.112	0.271	0.841 ms
Numeric time: 1.044	0.043	1 ms
Symbolic time: 1.094	1.085	0.009 ms
Numeric time: 1.04	1.037	0.004 ms
Symbolic time: 1.099	1.089	0.009 ms
Numeric time: 1.046	1.043	0.004 ms
Symbolic time: 1.107	1.097	0.01 ms
