Symbolic time: 0.513	0.254	0.254 ms
Numeric time: 0.349	0	0.354 ms
Symbolic time: 0.442	0	0.442 ms
Numeric time: 0.259	0	0.259 ms
Symbolic time: 0.447	0	0.446 ms
Numeric time: 0.269	0.268	0 ms
Symbolic time: 0.439	0.439	0 ms
Numeric time: 0.258	0.133	0.125 ms
Symbolic time: 0.446	0.446	0 ms
Numeric time: 0.242	0.242	0 ms
Symbolic time: 0.371	0.324	0.046 ms
Numeric time: 0.231	0	0.23 ms
Symbolic time: 0.364	0	0.364 ms
Numeric time: 0.225	0	0.225 ms
Symbolic time: 0.385	0.385	0 ms
Numeric time: 0.218	0.219	0 ms
Symbolic time: 0.367	0.321	0.046 ms
Numeric time: 0.226	0.226	0 ms
Symbolic time: 0.374	0.375	0 ms
Numeric time: 0.221	0.22	0 ms
Symbolic time: 0.385	0.384	0 ms
Numeric time: 0.224	0.224	0 ms
Symbolic time: 0.369	0.368	0 ms
Numeric time: 0.235	0.235	0 ms
Symbolic time: 0.37	0.371	0 ms
Numeric time: 0.229	0.229	0 ms
Symbolic time: 0.374	0.374	0 ms
Numeric time: 0.225	0.226	0 ms
Symbolic time: 0.368	0.367	0 ms
Numeric time: 0.227	0.227	0 ms
Symbolic time: 0.369	0.37	0 ms
Numeric time: 0.22	0.219	0 ms
Symbolic time: 0.38	0.38	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.373	0.372	0 ms
Numeric time: 0.235	0.235	0 ms
Symbolic time: 0.369	0.37	0 ms
Numeric time: 0.232	0.231	0 ms
Symbolic time: 0.371	0.371	0 ms
Numeric time: 0.238	0.239	0 ms
Symbolic time: 0.267	0.268	0 ms
Numeric time: 0.15	0.149	0 ms
Symbolic time: 0.251	0.252	0 ms
Numeric time: 0.147	0.147	0 ms
Symbolic time: 0.249	0.248	0 ms
Numeric time: 0.148	0.147	0 ms
Symbolic time: 0.253	0.253	0 ms
Numeric time: 0.15	0.151	0 ms
Symbolic time: 0.249	0.249	0 ms
Numeric time: 0.153	0.154	0 ms
Symbolic time: 0.243	0.244	0 ms
Numeric time: 0.159	0.16	0 ms
Symbolic time: 0.243	0.243	0 ms
Numeric time: 0.15	0.15	0 ms
Symbolic time: 0.242	0.243	0 ms
Numeric time: 0.146	0.147	0 ms
Symbolic time: 0.248	0.248	0 ms
Numeric time: 0.146	0.147	0 ms
