Symbolic time: 2.261	2.235	0.024 ms
Numeric time: 1.293	1.27	0.025 ms
Symbolic time: 1.78	1.78	0 ms
Numeric time: 0.937	0.936	0 ms
Symbolic time: 1.828	1.828	0 ms
Numeric time: 0.94	0.94	0 ms
Symbolic time: 1.729	1.728	0 ms
Numeric time: 0.927	0.927	0 ms
Symbolic time: 1.738	1.738	0 ms
Numeric time: 1.152	1.152	0 ms
Symbolic time: 1.772	1.772	0 ms
Numeric time: 0.922	0.923	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.919	0.92	0 ms
Symbolic time: 1.722	1.721	0 ms
Numeric time: 0.924	0.924	0 ms
Symbolic time: 1.725	1.726	0 ms
Numeric time: 0.92	0.92	0 ms
Symbolic time: 1.774	1.774	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.931	0.924	0 ms
Symbolic time: 1.723	1.724	0 ms
Numeric time: 0.925	0.925	0 ms
Symbolic time: 1.74	1.74	0 ms
Numeric time: 0.92	0.921	0 ms
Symbolic time: 1.724	1.725	0 ms
Numeric time: 0.919	0.919	0 ms
Symbolic time: 1.721	1.72	0 ms
Numeric time: 0.917	0.916	0 ms
Symbolic time: 1.726	0.906	0.82 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.938	0.938	0 ms
Symbolic time: 1.733	1.732	0 ms
Numeric time: 0.942	0	0.941 ms
Symbolic time: 1.719	1.718	0 ms
Numeric time: 0.92	0.92	0 ms
Symbolic time: 1.778	1.778	0 ms
Numeric time: 0.921	0.921	0 ms
Symbolic time: 1.72	1.699	0.02 ms
Numeric time: 0.922	0.922	0 ms
Symbolic time: 1.729	0.89	0.839 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.716	1.717	0 ms
Numeric time: 0.919	0.92	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.916	0.916	0 ms
Symbolic time: 1.719	1.719	0 ms
Numeric time: 0.921	0.921	0 ms
Symbolic time: 1.741	1.741	0 ms
Numeric time: 0.921	0.92	0.002 ms
Symbolic time: 2.067	2.066	0 ms
Numeric time: 0.927	0.928	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.94	0	0.941 ms
Symbolic time: 1.729	1.684	0.045 ms
Numeric time: 0.919	0.92	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.933	0.934	0 ms
Symbolic time: 1.742	1.743	0 ms
Numeric time: 0.923	0.923	0 ms
Symbolic time: 1.725	1.724	0 ms
Numeric time: 0.922	0.922	0 ms
Symbolic time: 1.722	1.722	0 ms
Numeric time: 0.924	0.924	0 ms
Symbolic time: 1.722	1.721	0 ms
Numeric time: 0.919	0	0.92 ms
Symbolic time: 1.849	1.797	0.052 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.721	1.722	0 ms
Numeric time: 0.919	0.92	0 ms
Symbolic time: 1.72	1.72	0 ms
Numeric time: 0.921	0	0.921 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.933	0.934	0 ms
Symbolic time: 1.731	1.73	0 ms
Numeric time: 0.92	0.919	0 ms
Symbolic time: 1.788	1.788	0 ms
Numeric time: 0.926	0.926	0 ms
Symbolic time: 1.72	1.707	0.013 ms
Numeric time: 0.927	0.927	0 ms
Symbolic time: 1.722	0.888	0.834 ms
Numeric time: 0.922	0.922	0 ms
Symbolic time: 1.718	1.718	0 ms
Numeric time: 0.92	0	0.92 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.92	0.921	0 ms
Symbolic time: 1.775	1.776	0 ms
Numeric time: 0.922	0	0.923 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.925	0.876	0.05 ms
Symbolic time: 1.735	1.734	0 ms
Numeric time: 0.983	0	0.983 ms
