Symbolic time: 4.001	3.99	0.009 ms
Numeric time: 2.965	1.982	0.985 ms
Symbolic time: 2.971	2.97	0.001 ms
Numeric time: 2.197	2.176	0.022 ms
Symbolic time: 2.918	2.918	0 ms
Numeric time: 2.198	2.198	0 ms
Symbolic time: 2.956	2.956	0 ms
Numeric time: 2.169	2.168	0 ms
Symbolic time: 2.997	2.998	0 ms
Numeric time: 4.864	4.856	0 ms
Symbolic time: 7.46	7.46	0 ms
Numeric time: 3.633	3.634	0 ms
Symbolic time: 4.808	4.807	0 ms
Numeric time: 2.61	1.619	0.992 ms
Symbolic time: 3.192	3.192	0 ms
Numeric time: 2.366	1.397	0.97 ms
Symbolic time: 3.158	3.147	0.011 ms
Numeric time: 2.164	2.164	0 ms
Symbolic time: 2.92	2.92	0 ms
Numeric time: 2.152	2.153	0 ms
Symbolic time: 2.919	2.918	0 ms
Numeric time: 2.161	2.161	0 ms
Symbolic time: 2.921	2.921	0 ms
Numeric time: 2.156	1.16	0.997 ms
Symbolic time: 2.915	2.909	0.006 ms
Numeric time: 2.165	2.165	0 ms
Symbolic time: 2.922	2.922	0 ms
Numeric time: 2.158	2.158	0 ms
Symbolic time: 2.926	2.926	0 ms
Numeric time: 2.15	2.15	0 ms
Symbolic time: 2.919	2.92	0 ms
Numeric time: 2.155	2.156	0 ms
Symbolic time: 2.921	2.921	0 ms
Numeric time: 2.162	2.163	0 ms
Symbolic time: 2.924	2.924	0 ms
Numeric time: 2.16	2.161	0 ms
Symbolic time: 2.925	2.925	0 ms
Numeric time: 2.164	2.165	0 ms
Symbolic time: 2.921	2.921	0 ms
Numeric time: 2.164	2.164	0 ms
Symbolic time: 2.92	2.92	0 ms
Numeric time: 2.155	2.155	0 ms
Symbolic time: 2.913	2.913	0 ms
Numeric time: 2.153	1.176	0.977 ms
Symbolic time: 2.913	2.914	0 ms
Numeric time: 2.158	2.153	0.005 ms
Symbolic time: 2.918	2.918	0 ms
Numeric time: 2.158	2.158	0 ms
Symbolic time: 2.925	2.924	0 ms
Numeric time: 2.145	2.146	0 ms
Symbolic time: 2.917	2.917	0 ms
Numeric time: 2.155	2.156	0 ms
Symbolic time: 2.922	2.922	0 ms
Numeric time: 2.147	2.146	0 ms
Symbolic time: 2.909	2.909	0 ms
Numeric time: 2.151	2.152	0 ms
Symbolic time: 2.916	2.917	0 ms
Numeric time: 2.146	2.147	0 ms
Symbolic time: 2.921	2.922	0 ms
Numeric time: 2.15	2.15	0 ms
Symbolic time: 2.92	2.919	0 ms
Numeric time: 2.15	2.152	0 ms
Symbolic time: 2.906	2.08	0.825 ms
Numeric time: 2.158	2.159	0 ms
Symbolic time: 2.918	2.918	0 ms
